influencer_id,name,platform_primary,platform_primary_score,persona,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,familiarity_media_pct,trending_status,likeability_sentiment,campaign_success_signif,engagement_rate_pct,similarity_tags,has_relevant_history,random_endorse_rate,behavior_consistency,expertise
INF018,Alexa Belvana,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Confident']","Elegance",NULL,TRUE,Positive,FALSE,NULL,"['Beauty','Fashion']",FALSE,NULL,TRUE,TRUE
INF019,Ayla Dimitri,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Creative','Confident']","Creativity",NULL,TRUE,Positive,FALSE,NULL,"['Fashion','Influencer']",FALSE,NULL,TRUE,TRUE
INF020,Valerie Pola,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']","Elegance",NULL,TRUE,Positive,FALSE,NULL,"['Beauty','Fashion']",FALSE,NULL,TRUE,TRUE
INF021,Sarah Gabriella Tumiwa,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Friendly']","Confidence",NULL,TRUE,Positive,FALSE,NULL,"['Fashion','Model']",FALSE,NULL,TRUE,TRUE
INF022,Tiffany Regina,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Creative']","Elegance",NULL,TRUE,Positive,FALSE,NULL,"['Beauty','Fashion']",FALSE,NULL,TRUE,TRUE
INF023,Vili Su,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']","Creativity",NULL,TRUE,Positive,FALSE,NULL,"['Fashion','Influencer']",FALSE,NULL,TRUE,TRUE
INF024,Claradevi,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']","Elegance",NULL,TRUE,Positive,FALSE,NULL,"['Beauty','Fashion']",FALSE,NULL,TRUE,TRUE
INF025,Yumi Kwandy,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']","Creativity",NULL,TRUE,Positive,FALSE,NULL,"['Fashion','Influencer']",FALSE,NULL,TRUE,TRUE
INF026,Fadhilah Razak,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']","Elegance",NULL,TRUE,Positive,FALSE,NULL,"['Beauty','Fashion']",FALSE,NULL,TRUE,TRUE
INF027,Jessica Charis,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']","Creativity",NULL,TRUE,Positive,FALSE,NULL,"['Fashion','Influencer']",FALSE,NULL,TRUE,TRUE
INF028,Evelyn Ramli,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']","Elegance",NULL,TRUE,Positive,FALSE,NULL,"['Beauty','Fashion']",FALSE,NULL,TRUE,TRUE
INF029,Aurel Oriana,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Confident']","Elegance",NULL,TRUE,Positive,FALSE,NULL,"['Beauty','Fashion']",FALSE,NULL,TRUE,TRUE
INF030,Angel Tamara,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Creative','Confident']","Creativity",NULL,TRUE,Positive,FALSE,NULL,"['Fashion','Influencer']",FALSE,NULL,TRUE,TRUE
INF031,Calista Cherrie,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']","Elegance",NULL,TRUE,Positive,FALSE,NULL,"['Beauty','Fashion']",FALSE,NULL,TRUE,TRUE
INF032,Shalfa Putri Raihan,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Friendly']","Confidence",NULL,TRUE,Positive,FALSE,NULL,"['Fashion','Model']",FALSE,NULL,TRUE,TRUE
INF033,Sarah Ayu,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Creative']","Elegance",NULL,TRUE,Positive,FALSE,NULL,"['Beauty','Fashion']",FALSE,NULL,TRUE,TRUE
INF034,Agustina Hermanto,Instagram,NULL,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']","Creativity",NULL,TRUE,Positive,FALSE,NULL,"['Fashion','Influencer']",FALSE,NULL,TRUE,TRUE
INF035,Najwa Shihab,YouTube,NULL,"['Education','Media','Public Expert']",Generasi X,Perempuan,Menengah ke atas,"['Intellectual','Modern']","['Smart','Critical']","Knowledge",NULL,TRUE,Positive,TRUE,NULL,"['Jurnalis','Narasi']",TRUE,NULL,TRUE,TRUE
INF036,Dewi Lestari,Instagram,NULL,"['Education','Writing','Public Expert']",Generasi X,Perempuan,Menengah ke atas,"['Intellectual','Creative']","['Smart','Creative']","Wisdom",NULL,TRUE,Positive,TRUE,NULL,"['Penulis','Musisi']",TRUE,NULL,TRUE,TRUE
INF037,Brian Febrian,Instagram,NULL,"['Education','Public Expert']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Intellectual','Modern']","['Smart','Critical']","Knowledge",NULL,TRUE,Positive,TRUE,NULL,"['Pakar','Edukasi']",TRUE,NULL,TRUE,TRUE
INF038,Najelaa Shihab,Instagram,NULL,"['Education','Public Expert']",Generasi X,Perempuan,Menengah ke atas,"['Intellectual','Modern']","['Smart','Caring']","Empowerment",NULL,TRUE,Positive,TRUE,NULL,"['Pendidikan','Aktivis']",TRUE,NULL,TRUE,TRUE
INF039,Gede Prama,Instagram,NULL,"['Education','Spiritual','Public Expert']",Generasi X,Laki-laki,Menengah ke atas,"['Spiritual','Simple']","['Wise','Calm']","Wisdom",NULL,TRUE,Positive,TRUE,NULL,"['Spiritual','Motivator']",TRUE,NULL,TRUE,TRUE
INF042,Gitasav,Instagram,NULL,"['Education','Public Expert','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Motivational']","['Smart','Inspiring']","Empowerment",NULL,TRUE,Positive,TRUE,NULL,"['Motivator','Edukasi']",TRUE,NULL,TRUE,TRUE
INF043,Alya Nurshabrina,Instagram,NULL,"['Education','Public Expert','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Motivational']","['Smart','Inspiring']","Empowerment",NULL,TRUE,Positive,TRUE,NULL,"['Motivator','Edukasi']",TRUE,NULL,TRUE,TRUE
INF044,Reza Aditya,Instagram,NULL,"['Education','Public Expert','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Motivational']","['Smart','Inspiring']","Empowerment",NULL,TRUE,Positive,TRUE,NULL,"['Motivator','Edukasi']",TRUE,NULL,TRUE,TRUE
INF045,Felix Siauw,YouTube,NULL,"['Education','Religion','Public Expert']",Generasi X,Laki-laki,Menengah ke atas,"['Religious','Modern']","['Wise','Inspiring']","Faith",NULL,TRUE,Positive,TRUE,NULL,"['Ustadz','Motivator']",TRUE,NULL,TRUE,TRUE
INF046,Nadia Mulya,Instagram,NULL,"['Education','Public Expert','Parenting']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Family']","['Caring','Smart']","Family",NULL,TRUE,Positive,TRUE,NULL,"['Parenting','Edukasi']",TRUE,NULL,TRUE,TRUE
INF047,Luna Vidya,Instagram,NULL,"['Education','Public Expert','Parenting']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Family']","['Caring','Smart']","Family",NULL,TRUE,Positive,TRUE,NULL,"['Parenting','Edukasi']",TRUE,NULL,TRUE,TRUE
INF048,Agustinus Wibowo,Instagram,NULL,"['Education','Writing','Public Expert']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Intellectual','Creative']","['Smart','Creative']","Wisdom",NULL,TRUE,Positive,TRUE,NULL,"['Penulis','Travel']",TRUE,NULL,TRUE,TRUE
INF053,Rara Sekar,Instagram,NULL,"['Activism','Social','Changemaker']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Social']","['Caring','Creative']","Empowerment",NULL,TRUE,Positive,TRUE,NULL,"['Aktivis','Musisi']",TRUE,NULL,TRUE,TRUE
INF055,Isyana Sarasvati,Instagram,NULL,"['Activism','Music','Changemaker']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Creative']","['Talented','Inspiring']","Creativity",NULL,TRUE,Positive,TRUE,NULL,"['Musisi','Aktivis']",TRUE,NULL,TRUE,TRUE
INF056,Vidi Aldiano,Instagram,NULL,"['Activism','Music','Changemaker']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Creative']","['Talented','Friendly']","Empowerment",NULL,TRUE,Positive,TRUE,NULL,"['Musisi','Aktivis']",TRUE,NULL,TRUE,TRUE
INF061,Helga Angelina,Instagram,NULL,"['Activism','Social','Changemaker']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Eco-conscious']","['Caring','Inspiring']","Sustainability",NULL,TRUE,Positive,TRUE,NULL,"['Lingkungan','Vegan']",TRUE,NULL,TRUE,TRUE
INF062,Melati Wijsen,Instagram,NULL,"['Activism','Social','Changemaker']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Eco-conscious']","['Caring','Inspiring']","Sustainability",NULL,TRUE,Positive,TRUE,NULL,"['Lingkungan','Aktivis']",TRUE,NULL,TRUE,TRUE
INF065,Anindya Kusuma,Instagram,NULL,"['Activism','Social','Changemaker']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Social']","['Caring','Creative']","Empowerment",NULL,TRUE,Positive,TRUE,NULL,"['Aktivis','Influencer']",TRUE,NULL,TRUE,TRUE
INF067,Eva Bande,Instagram,NULL,"['Activism','Social','Changemaker']",Generasi X,Perempuan,Menengah ke atas,"['Modern','Social']","['Caring','Inspiring']","Justice",NULL,TRUE,Positive,TRUE,NULL,"['Aktivis','Lingkungan']",TRUE,NULL,TRUE,TRUE
INF068,Zahra Muzdalifah,Instagram,NULL,"['Activism','Sports','Changemaker']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Sporty']","['Energetic','Inspiring']","Empowerment",NULL,TRUE,Positive,TRUE,NULL,"['Atlet','Aktivis']",TRUE,NULL,TRUE,TRUE
INF069,Sarwendah,Instagram,NULL,"['Lifestyle','Family','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Friendly']","Family",NULL,TRUE,Positive,FALSE,NULL,"['Ibu','Selebriti']",FALSE,NULL,TRUE,FALSE
INF070,Cut Meyriska,Instagram,NULL,"['Lifestyle','Family','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Friendly']","Family",NULL,TRUE,Positive,FALSE,NULL,"['Aktris','Ibu']",FALSE,NULL,TRUE,FALSE
INF072,Danu Alqamara,Instagram,NULL,"['Lifestyle','Family','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Family','Simple']","['Friendly','Caring']","Family",NULL,TRUE,Positive,FALSE,NULL,"['Ayah','Influencer']",FALSE,NULL,TRUE,FALSE
INF074,Donna Harun,Instagram,NULL,"['Lifestyle','Family','Everyday']",Generasi X,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Elegant']","Family",NULL,TRUE,Positive,FALSE,NULL,"['Aktris','Ibu']",FALSE,NULL,TRUE,FALSE
INF075,Rian Fahardhi,Instagram,NULL,"['Lifestyle','Family','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Simple','Modern']","['Friendly','Caring']","Fun",NULL,TRUE,Positive,FALSE,NULL,"['Influencer','Daily']",FALSE,NULL,TRUE,FALSE
INF076,Nona Berlian Sakina,Instagram,NULL,"['Lifestyle','Family','Everyday']",Generasi Milenial,Perempuan,Menengah,"['Family','Simple']","['Caring','Friendly']","Family",NULL,TRUE,Positive,FALSE,NULL,"['Ibu','Influencer']",FALSE,NULL,TRUE,FALSE
INF078,Henjiwong,Instagram,NULL,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']","Creativity",NULL,TRUE,Positive,FALSE,NULL,"['Kuliner','Chef']",FALSE,NULL,TRUE,FALSE
INF080,Anakjajan,Instagram,NULL,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']","Creativity",NULL,TRUE,Positive,FALSE,NULL,"['Kuliner','Foodblogger']",FALSE,NULL,TRUE,FALSE
INF081,Kuliner Koko,Instagram,NULL,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Modern','Culinary']","['Friendly','Creative']","Creativity",NULL,TRUE,Positive,FALSE,NULL,"['Kuliner','Foodblogger']",FALSE,NULL,TRUE,FALSE
INF082,Susan Theresia,Instagram,NULL,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']","Creativity",NULL,TRUE,Positive,FALSE,NULL,"['Kuliner','Foodblogger']",FALSE,NULL,TRUE,FALSE
INF083,Agakenyang,Instagram,NULL,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Modern','Culinary']","['Friendly','Creative']","Creativity",NULL,TRUE,Positive,FALSE,NULL,"['Kuliner','Foodblogger']",FALSE,NULL,TRUE,FALSE
INF084,Ayoe Widya,Instagram,NULL,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Perempuan,Menengah,"['Modern','Culinary']","['Creative','Friendly']","Creativity",NULL,TRUE,Positive,FALSE,NULL,"['Kuliner','Foodblogger']",FALSE,NULL,TRUE,FALSE
INF085,Syifa Hadju,Instagram,NULL,"['Lifestyle','Beauty','Everyday']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Beauty']","['Friendly','Stylish']","Beauty",NULL,TRUE,Positive,FALSE,NULL,"['Aktris','Beauty']",FALSE,NULL,TRUE,FALSE
INF086,Greysia Polii,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Badminton','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF087,Apriyani Rahayu,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Z,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Badminton','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF088,Liliyana Natsir,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Badminton','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF089,Rio Haryanto,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Modern']","['Energetic','Ambitious']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['F1','Balap']",TRUE,NULL,TRUE,TRUE
INF090,Anthony Ginting,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Badminton','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF091,Jonatan Christie,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Badminton','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF092,Kevin Sanjaya,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Badminton','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF093,Marcus Gideon,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Badminton','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF094,Rizki Amelia,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Badminton','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF095,Eko Yuli Irawan,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Angkat Besi','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF096,Diananda Choirunisa,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Z,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Panahan','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF097,Indra Sjafri,Instagram,NULL,"['Sports','Coach','Motivation']",Generasi X,Laki-laki,Menengah ke atas,"['Sporty','Leader']","['Inspiring','Disiplin']","Leadership",NULL,TRUE,Positive,TRUE,NULL,"['Pelatih','Sepakbola']",TRUE,NULL,TRUE,TRUE
INF098,Wahyu Nayaka,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Badminton','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF099,Ahsan Hendra,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Badminton','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF100,Aprilia Manganang,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Voli','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF101,Zohri Lalu,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Atletik','Olimpiade']",TRUE,NULL,TRUE,TRUE
INF102,Bryan Domani,Instagram,NULL,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Modern']","['Energetic','Friendly']","Achievement",NULL,TRUE,Positive,TRUE,NULL,"['Aktor','Olahraga']",TRUE,NULL,TRUE,FALSE
INF103,Yasa Singgih,Instagram,NULL,"['Business','Entrepreneur','Finance']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Smart']","Innovation",NULL,TRUE,Positive,TRUE,NULL,"['Bisnis','Startup']",TRUE,NULL,TRUE,TRUE
INF105,Andhika Diskartes,Instagram,NULL,"['Business','Finance','Education']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Analytical']","Knowledge",NULL,TRUE,Positive,TRUE,NULL,"['Finansial','Edukasi']",TRUE,NULL,TRUE,TRUE
INF106,Raden Rauf,Instagram,NULL,"['Business','Entrepreneur','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Inspiring']","Empowerment",NULL,TRUE,Positive,TRUE,NULL,"['Bisnis','Motivator']",TRUE,NULL,TRUE,TRUE
INF107,Sandy Firmansyah,Instagram,NULL,"['Business','Entrepreneur','Finance']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Ambitious']","Innovation",NULL,TRUE,Positive,TRUE,NULL,"['Bisnis','Startup']",TRUE,NULL,TRUE,TRUE
INF108,Jouska,Instagram,NULL,"['Business','Finance','Education']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Analytical']","Knowledge",NULL,TRUE,Positive,TRUE,NULL,"['Finansial','Edukasi']",TRUE,NULL,TRUE,TRUE
INF109,Fellexandro Ruby,Instagram,NULL,"['Business','Entrepreneur','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Inspiring']","Empowerment",NULL,TRUE,Positive,TRUE,NULL,"['Bisnis','Motivator']",TRUE,NULL,TRUE,TRUE
INF110,Denny Santoso,Instagram,NULL,"['Business','Entrepreneur','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Inspiring']","Empowerment",NULL,TRUE,Positive,TRUE,NULL,"['Bisnis','Motivator']",TRUE,NULL,TRUE,TRUE
INF111,Vincent Raditya,YouTube,NULL,"['Business','Aviation','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Aviation']","['Ambitious','Inspiring']","Empowerment",NULL,TRUE,Positive,TRUE,NULL,"['Pilot','Motivator']",TRUE,NULL,TRUE,TRUE
INF112,Christian Sugiono,Instagram,NULL,"['Business','Entrepreneur','Tech']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Ambitious']","Innovation",NULL,TRUE,Positive,TRUE,NULL,"['Startup','Teknologi']",TRUE,NULL,TRUE,TRUE
