username_instagram,tier_followers,influencer_id,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,familiarity_media_pct,trending_status,likeability_sentiment,campaign_success_signif,engagement_rate_pct,rate_card_story,rate_card_feeds,rate_card_reels,has_relevant_history,random_endorse_rate,behavior_consistency,expertise_field,avg_reels_views,avg_post_like,avg_comment
dinar.amanda,Mid,INF039,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,1500000,6000000,8000000,False,0.34,True,lifestyle,12000,2500,270
dinda_ans,Mega,INF040,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,12000000,30000000,40000000,True,0.42,True,beauty,15500,3100,390
dindarimby,Mid,INF041,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.79,False,Neutral,False,0.031,2000000,7000000,9000000,False,0.33,True,lifestyle,12200,2600,280
dolly_regar,Mid,INF042,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.83,True,Positive,True,0.052,2500000,8000000,10000000,True,0.44,True,beauty,16500,3400,410
dr.farhanialhabsyi,Micro,INF043,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,400000,1000000,2500000,False,0.3,True,health,11200,1850,210
fahmiadimara,Micro,INF044,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.051,600000,2000000,4000000,True,0.45,True,finance,16200,3350,405
fajrin.rz,Mid,INF045,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Sehat']","['Fun', 'Energetic']",Kreatif,0.72,False,Positive,False,0.035,1800000,6500000,8500000,False,0.34,True,gaming,11900,2150,220
fauzanjabir,Mid,INF046,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Brave,0.84,True,Positive,True,0.054,2500000,8000000,10000000,True,0.46,True,beauty,16800,3450,415
felicia.herianto,Mid,INF047,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,1500000,6000000,8000000,False,0.34,True,lifestyle,12000,2500,270
felix.siauw,Mega,INF048,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,11000000,28000000,38000000,True,0.42,True,education,15500,3100,390
fernandofenlee,Micro,INF049,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,400000,1000000,2500000,False,0.3,True,tech,11200,1850,210
fidahana,Micro,INF050,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.051,600000,2000000,4000000,True,0.45,True,finance,16200,3350,405
firhandsatrio,Macro,INF051,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.73,False,Neutral,False,0.027,3500000,10000000,14000000,False,0.31,True,sport,11500,2000,220
fuad.aliromadoni,Macro,INF053,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.8,True,Positive,True,0.05,5000000,15000000,20000000,True,0.43,True,education,16000,3300,400
gerrygirianza,Macro,INF054,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.68,False,Neutral,False,0.028,4000000,12000000,16000000,False,0.33,True,travel,12000,2100,250
gervasius123,Micro,INF055,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.051,600000,2000000,4000000,True,0.45,True,finance,16200,3350,405
ginasihlaa_,Mid,INF056,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,1500000,6000000,8000000,False,0.34,True,lifestyle,12000,2500,270
granzetta,Macro,INF057,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,4500000,13000000,18000000,True,0.42,True,beauty,15500,3100,390
great.ej,Mid,INF058,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,2000000,7000000,9000000,False,0.3,True,tech,11200,1850,210
halohilda_,Micro,INF059,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.051,600000,2000000,4000000,True,0.45,True,education,16200,3350,405
harry.vghn,Mega,INF060,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Sehat']","['Fun', 'Energetic']",Kreatif,0.72,False,Positive,False,0.035,11000000,28000000,38000000,False,0.34,True,gaming,11900,2150,220
heidyrezky,Micro,INF061,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Brave,0.84,True,Positive,True,0.054,700000,2500000,5000000,True,0.46,True,beauty,16800,3450,415
heyitsriellaa,Mid,INF062,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,1500000,6000000,8000000,False,0.34,True,lifestyle,12000,2500,270
hirataandrea,Mid,INF063,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,2500000,8000000,10000000,True,0.42,True,education,15500,3100,390
hirataandrera,Mid,INF064,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,2000000,7000000,9000000,False,0.3,True,tech,11200,1850,210
ibrokumar,Mid,INF065,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.051,2500000,8000000,10000000,True,0.45,True,finance,16200,3350,405
ijfinaamalia,Macro,INF066,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,3500000,10000000,14000000,False,0.34,True,lifestyle,12000,2500,270
iman.indonesia,Micro,INF067,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,education,15500,3100,390
ina.marika,Macro,INF068,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,4000000,12000000,16000000,False,0.34,True,lifestyle,12000,2500,270
iqbaal.e,Mega,INF069,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,12000000,30000000,40000000,True,0.42,True,entertainment,15500,3100,390
iranndha,Mega,INF070,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,11000000,28000000,38000000,False,0.34,True,lifestyle,12000,2500,270
irma.iryanto3,Mid,INF071,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,2500000,8000000,10000000,True,0.42,True,beauty,15500,3100,390
janes_cs,Macro,INF072,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,3500000,10000000,14000000,False,0.34,True,lifestyle,12000,2500,270
janicesamanthaa,Micro,INF073,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,beauty,15500,3100,390
jax.andersen,Mid,INF074,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,2000000,7000000,9000000,False,0.3,True,tech,11200,1850,210
jefdasilvaaa,Micro,INF075,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.051,600000,2000000,4000000,True,0.45,True,finance,16200,3350,405
jenniferbachdim,Mega,INF076,"['Generasi Z', 'Milenial']",['Perempuan'],['Atas'],"['Modern', 'Aktif']","['Ekspresif', 'Energetic']",Kreatif,0.93,True,Positive,True,0.06,15000000,35000000,45000000,True,0.58,True,sport,350000,90000,7000
jhonrchristhoper,Micro,INF077,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,400000,1000000,2500000,False,0.3,True,tech,11200,1850,210
joerdy.s,Macro,INF078,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.051,5000000,15000000,20000000,True,0.45,True,finance,16200,3350,405
jurnaltasya,Micro,INF079,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,450000,1000000,2500000,False,0.34,True,lifestyle,12000,2500,270
kadafidevayana,Macro,INF080,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,4500000,13000000,18000000,True,0.42,True,tech,15500,3100,390
karenkurniawan_kk,Macro,INF081,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,3500000,10000000,14000000,False,0.3,True,tech,11200,1850,210
keitavanya,Mid,INF082,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,2500000,8000000,10000000,True,0.42,True,beauty,15500,3100,390
kennygerald,Micro,INF083,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,400000,1000000,2500000,False,0.3,True,tech,11200,1850,210
khairinadiar,Micro,INF084,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,beauty,15500,3100,390
khalisyarenata,Micro,INF085,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,450000,1000000,2500000,False,0.34,True,lifestyle,12000,2500,270
kiararindani,Mid,INF086,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,2500000,8000000,10000000,True,0.42,True,beauty,15500,3100,390
kinandaputriii,Micro,INF087,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,450000,1000000,2500000,False,0.34,True,lifestyle,12000,2500,270
laurabas,Macro,INF088,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,5000000,15000000,20000000,True,0.42,True,beauty,15500,3100,390
laurenzetira,Micro,INF089,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,450000,1000000,2500000,False,0.34,True,lifestyle,12000,2500,270
lindawidyaa,Mid,INF090,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,2500000,8000000,10000000,True,0.42,True,beauty,15500,3100,390
lisaayukw,Mid,INF091,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,1500000,6000000,8000000,False,0.34,True,lifestyle,12000,2500,270
lucky_n00b.oc,Micro,INF092,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,gaming,15500,3100,390
luckyoetama,Mid,INF093,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,2000000,7000000,9000000,False,0.3,True,tech,11200,1850,210
m.auliarhman,Micro,INF094,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.051,600000,2000000,4000000,True,0.45,True,finance,16200,3350,405
mandycj_,Mid,INF095,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,1500000,6000000,8000000,False,0.34,True,lifestyle,12000,2500,270
marinanda_88,Macro,INF096,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,4500000,13000000,18000000,True,0.42,True,beauty,15500,3100,390
marshaz,Mid,INF097,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,1500000,6000000,8000000,False,0.34,True,lifestyle,12000,2500,270
mhumprey,Micro,INF098,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,tech,15500,3100,390
missnyctagina,Mega,INF099,"['Generasi Z', 'Milenial']",['Perempuan'],['Atas'],"['Modern', 'Aktif']","['Ekspresif', 'Energetic']",Kreatif,0.92,True,Positive,True,0.059,14000000,33000000,43000000,True,0.57,True,entertainment,320000,85000,6500
najhytlby_,Micro,INF100,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,450000,1000000,2500000,False,0.34,True,lifestyle,12000,2500,270
natashabigeyl,Mid,INF101,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,2500000,8000000,10000000,True,0.42,True,beauty,15500,3100,390
natyashina,Macro,INF102,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,3500000,10000000,14000000,False,0.34,True,lifestyle,12000,2500,270
naufaltannaz,Mid,INF103,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,2500000,8000000,10000000,True,0.42,True,tech,15500,3100,390
nikyrputra,Mid,INF105,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,2500000,8000000,10000000,True,0.42,True,finance,15500,3100,390
nitaoktarr,Micro,INF106,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,450000,1000000,2500000,False,0.34,True,lifestyle,12000,2500,270
nuhevita,Mid,INF107,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,2500000,8000000,10000000,True,0.42,True,beauty,15500,3100,390
olviapayten,Mid,INF108,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,1500000,6000000,8000000,False,0.34,True,lifestyle,12000,2500,270
pandji.pragiwaksono,Mega,INF109,"['Milenial', 'Generasi X']",['Laki-laki'],['Atas'],"['Modern', 'Aktif']","['Ekspresif', 'Energetic']",Kreatif,0.92,True,Positive,True,0.058,13000000,32000000,42000000,True,0.56,True,entertainment,300000,80000,6000
pedrostbd,Macro,INF110,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,3500000,10000000,14000000,False,0.3,True,tech,11200,1850,210
raditya_dika,Mega,INF111,"['Milenial', 'Generasi Z']",['Laki-laki'],['Atas'],"['Modern', 'Aktif']","['Ekspresif', 'Energetic']",Kreatif,0.94,True,Positive,True,0.061,16000000,40000000,50000000,True,0.59,True,entertainment,370000,95000,7500
raflihidayatulloh,Micro,INF112,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,400000,1000000,2500000,False,0.3,True,sport,11200,1850,210
raniashafira,Micro,INF114,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,450000,1000000,2500000,False,0.34,True,lifestyle,12000,2500,270
raniazzhr,Micro,INF115,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,beauty,15500,3100,390
ravie.pie,Macro,INF116,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,3500000,10000000,14000000,False,0.34,True,lifestyle,12000,2500,270
