comment,predicted_label
HAHHH KEREN AND LUCU BNGT OMG,supportive sentiment
😍😍 Hareudang tapi 😂,supportive sentiment
Woyyyyyyyy takut banget,relatable engagement
Gilaa siy ini harga nya murcee beut dah @destyawullems,product-focused response
sedih liatnya 😔,relatable engagement
WKWWK STELLAA,pas
Harga kak?,product-focused response
Buka IG langsung trauma aku..,relatable engagement
CAKEP BGT,pas
umur berapa sih ka? imut bgtt,product-focused response
MasyaAllah ❤️,passive engagement
Beeeest🙌🙌,passive engagement
CONGRATULATIONS ❤️❤️❤️❤️,supportive sentiment
NANGIS BGT🤣🤣😭,relatable engagement
Kereeen...❤️❤️,spam or irrelevant
We miss you tingg😢,supportive sentiment
CANTIKBGT😍,supportive sentiment
cantikk bangett ka belllaaa ❤️❤️❤️❤️❤️,supportive sentiment
"Mas uta “untung nggak ikut makan bareng, jadi aman kan😅”",supportive sentiment
🔥🔥🔥,spam or irrelevant
"Emang ya, orang cakep duduk gini pun tetep josssss",supportive sentiment
kaput tau ga cara ngatasin crack di smile lines? tiap mekap aku selalu crack disitu :(,relatable engagement
Cantikkkkk bgt ma fav girl❤️❤️❤️❤️❤️,supportive sentiment
Woww banyak bgt free nya😍,supportive sentiment
Muka anak owner ni lo 😍,supportive sentiment
❤️,spam or irrelevant
Untung cover coba master HAHAHAH,product-focused response
Mayasi?,spam or irrelevant
Td barusan nonton vlog bumil ep 2 😍 sehat2 ya bumil dan debaynyaa 🥰,supportive sentiment
Iyaaa kenapaaaa harus ada ganjil genaaaappp aku lsg auto mancep d rumah 😂,relatable engagement
Wkwkwk kyuttt @elmiiirf,social virality
😍,spam or irrelevant
😍😍😍😍,spam or irrelevant
penasaran sama the orginote,relatable engagement
mana ya,pas
Semoga prestasi nya mentereng lagi,supportive sentiment
Congrats marshaa,pas
Setuju,spam or irrelevant
kalo pake keju parut bisa ga ka ?? mau coba jualan itu soalnya,supportive sentiment
"jujur salfok liat bodynya kak jdi pngin deh, kira kira apasih rahasianya biar punya body ideal sebagus itu? jadi pengin jg🤭🤭",product-focused response
💓,spam or irrelevant
Ganteng banget woi,supportive sentiment
❤️❤️❤️❤️,spam or irrelevant
Guna phone apa kak ?,product-focused response
FIFA Matchday? kang itu friendly match kan..,product-focused response
Meledak 🔥🔥,supportive sentiment
baru ini liat mandy terheran-heran 😍,supportive sentiment
Yg pertama best pic lo kayaknya😍,supportive sentiment
HER? Apa maksud captionmu?,product-focused response
"Respect bgt sama mereka, ngangguk-ngangguk dengerin tif ngomong. Kaya bener-bener serius & niat ya.",relatable engagement
YA ALLAH CANTIK BGT,passive engagement
anzhayyy gokill😂,relatable engagement
@aulphiles0 @bitchesyay @startbaekiw @astroaleykanoutt @eeciie_ ayok kesini!!😭😭,social virality
Masya Allah.. semoga Allah mudahkan rezeki kita untuk bisa bantu sesama 🤲🏻,supportive sentiment
cantikkknaa iboook😍,supportive sentiment
"Sementara aman, belum ada yg komen tinggal screenshot"".""",product-focused response
let's goo comeback hasta singleplayer games. the og hasta la vista gaming,supportive sentiment
🔥🔥🔥,spam or irrelevant
akhirnya ikutan❤️❤️,passive engagement
Jadi mau coba juga nih ka 😍,supportive sentiment
Ganteng sayang 🤍😍🤍@aryamohan7,supportive sentiment
"Karena Memotret Bukanlah Hal Yang Mudah, Terkadang Ada Hasil Yang Kurang Memuaskan. Belum edit Lighting, Settingan Kamera, WAKTU, KEAHLIAN, dan lain-lain. Itu Semua MAHAL, TIDAK SEMUA ORANG BISA 🔥",supportive sentiment
"Kucingnya bagus bgt dari warnanya jg cakep, bulunya lebat ❤️❤️",product-focused response
"Semua okee,tp baby wiliam tetap no 1 ya😍",supportive sentiment
Mahaaaallll bangeetttt iniii 🔥🔥🔥,supportive sentiment
Ahhhhhh kerennn beutt,supportive sentiment
@911.nela wkwkwkwwk,pas
😂😂😂,spam or irrelevant
Sangat membantu ini bisa di pake rame2 🔥,supportive sentiment
Istri dan ibu yg tersakiti 😢,relatable engagement
Serius ini sangat membantu. Buat aku si user android hp kentang. semoga segala urusan & aktifitas kita selalu di mudahkan. Amiin,relatable engagement
Ngilangin pake treatment apa bang,product-focused response
Boleh deh,pas
So pretty😍,supportive sentiment
🇮🇩☕,spam or irrelevant
👍,spam or irrelevant
Lagu ini selalu bikin semangat,supportive sentiment
Cantik.wow 🔥,supportive sentiment
Roberts family😂🔥,supportive sentiment
Lucu ihh yukaa,spam or irrelevant
Padet,spam or irrelevant
😍,spam or irrelevant
Malah jdi konshu,relatable engagement
CANTIK BGTTTTTT,pas
Cantiknya natural😍,supportive sentiment
"\citacita ku menikah dengan mu mau?\""""",product-focused response
so chiic,pas
oo beda orang taa 😂😭,relatable engagement
🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦wow🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦,spam or irrelevant
3x ksna mantap dahh,supportive sentiment
AI powered caption 😂,relatable engagement
KO BISA CANTIK GINI CICI AKU😍,supportive sentiment
BB TB brp si?? Cucok. @iranndha,social virality
akhirnyaaa,spam or irrelevant
😍😍,spam or irrelevant
🇵🇸🇵🇸🔥❤️,spam or irrelevant
aku yg nonton aja energinya langsung abis,relatable engagement
Keren videonya,pas
"Semoga selalu diberikan kerukunan dalam rumah tangga kak, dilindungin allah swt dan diberikan kebahagiaan dunia dan akhirat aamiin",supportive sentiment
goks abangku🙌🙌🙌,supportive sentiment
❤️❤️❤️,spam or irrelevant
gemes banget muka barunya,product-focused response
Pelanggan lama bank saqu ky gw gimana 😢,relatable engagement
Grogimu berkualitas cok 🔥🔥,product-focused response
salfok pas bareface kulitnya cakep bgt😭😭,relatable engagement
Aamiin... semoga hmilny nular yaa ibokk,supportive sentiment
Kopi jumbo mbak,supportive sentiment
Setting spray is one that I always tend to forget I need this,relatable engagement
😍😍,spam or irrelevant
Sounds like a good tea.. Will definitely check it out,supportive sentiment
canti bgt masyaallah 🩷.,supportive sentiment
😍,spam or irrelevant
Tetiba bngt muncul bawa foto usg bang ginting,supportive sentiment
Itu hrg brp bang rolang,relatable engagement
kak kacamatanya beli dimana kak🤩,product-focused response
Anjayyyyy keren bangettt 😍🔥,supportive sentiment
❤️🔥❤️😍,spam or irrelevant
Spill kacamataa,pas
❤️❤️❤️❤️❤️❤️❤️,spam or irrelevant
Jogja niku istimewa sanget nggeh😍😍,supportive sentiment
Ayo rahmat km bs... Yg sabar y sm mpin klo ngambek mpin... Pst bngga y bs duet sm idola.. Ah ngk sabar liat klian... Koh Sinyo cpet pulih y...,relatable engagement
Gils ngeri mainnya sama yg gitu-gitu kelas👏👏👏,relatable engagement
Kerennn🔥,supportive sentiment
Cukup tau aja😢,relatable engagement
Mau heran tapi gajadi.,supportive sentiment
cantik bgt sihhh,supportive sentiment
love yu ibok ❤️,supportive sentiment
Kak Ryan cakep bet rasa Oppa Korea🫵🏻,supportive sentiment
My kinggg,pas
asus memang luar biasa 🔥,supportive sentiment
❤️❤️,spam or irrelevant
🤍🖤,spam or irrelevant
Itu yoona 😍,supportive sentiment
Aaaaarggggggg!!!🔥,passive engagement
Wtb 1 tiket gold Bogor,supportive sentiment
Kembar,spam or irrelevant
Cuuuu Amay sih brondong 🤏😭,supportive sentiment
Lentur banget,pas
"Aku gak nonton wan pis, aku bakal dipenjara juga kah..?🥲",relatable engagement
produk ini juga bisa di pakai di kulit berjerawat ga yaa?,supportive sentiment
Mas kl mobilan bs gak? Lwt mana? Mksh,product-focused response
✌,spam or irrelevant
Menjiwai❌ memang jiwanya✅,relatable engagement
"barokallah kak, lancar lancar nggeh ibu dan bayi sehat sempurna semua aamiin ❤️",relatable engagement
Mau moisturizer garnier sakura yg pink itu kak 😍,supportive sentiment
Kalo kaya begini kalem bgttt😍,supportive sentiment
Kurang kaku banggg😂,relatable engagement
😍😍😍,spam or irrelevant
Minjem seratus juta dong,relatable engagement
Anjayyy oppah korea versi lokal 😂,relatable engagement
lucu bgt dinn😭,product-focused response
😂😂😂😂😂😂,spam or irrelevant
ya Allah.. kok bisa secakep ini....,supportive sentiment
Kerenn kaa❤️🔥 panutannn ku🙌,supportive sentiment
Sianak kaya raya 😂,relatable engagement
semangatt ray!!🔥,supportive sentiment
"\gereja mana\"" bikin orang mundur yg beda agama😂""",relatable engagement
Ini lah alasan kenapa pas battle ngelempar pokeball nya barengan😂,relatable engagement
👏👏,spam or irrelevant
Menginspirasi 👏👏👏 terimakasih kak @timotiusmul 🙏🏼🙏🏼🙏🏼,social virality
William bilek:pakai nama asli dong lu kalau berani 😂,relatable engagement
"Beneran dong merk kipasnya ""HERAN""😂",relatable engagement
"Kayaknya mba nya bersyukur jatoh, krn mayan bisa tidur bentar di aspal😭😭😭",relatable engagement
💜💜💜💜,spam or irrelevant
B…C (Basic),pas
ggwp🔥,relatable engagement
Nangis kejerrr dari tadi.. harqeel gw. Nggak siap aku terlalu pakai hati 😭😭😭,relatable engagement
proud of you adekkkk❤️,supportive sentiment
🔥🔥🔥 mksh pacer uda menemani 10K saya,relatable engagement
"kaa tsiji tu cewe or cowo yaa? (maaf gugupp, soalnya cantik kek mama nya ))",product-focused response
jadi nge gym dmn abangku @pandji.pragiwaksono,social virality
In my elements 🤎💚,supportive sentiment
"Semoga studio nya menjadi tempat yang penuh keberkahan untuk semua orang Papata @attahalilintar, aamiin..",social virality
"Btw, chat awal aku sama suami jg lewat dm dan persis kaya gitu hihi",relatable engagement
231,spam or irrelevant
"Wahh cepet banget waktu berlalu ya bunsar, anak-anak dah pada besar",product-focused response
Spill kerudung nya kak @fajrin.rz,product-focused response
Canciii😍,supportive sentiment
LUCUUUUUUUUUU❤️,passive engagement
"Tibaa\ Inget kaca 😆""",relatable engagement
Awokawokwok datengin Dzulumat🤣🤣,relatable engagement
😍😍😍,spam or irrelevant
😍😍😍,spam or irrelevant
"Ka jilbab pake merk apa, bagusss banget, tolong di spill ya ka",product-focused response
"Ini baru reaction yang niat, ga cuma ketawa karir + stock sfx meme",product-focused response
😂,spam or irrelevant
Cantik nyeee😍😍,supportive sentiment
Selinduttttt 😤🤏🏻🤏🏻🤏🏻,passive engagement
😍😍😍😍😍,spam or irrelevant
tumben ada mora,product-focused response
Cantik sekali ibu satu ini😍,supportive sentiment
Wow Yuka cantik banget,supportive sentiment
Jual 50rb,pas
Defense jongkok masih ampuh 😂👏,relatable engagement
Singkat saja. Sama.,relatable engagement
Bangmanaaa 🔥🔥,supportive sentiment
Berhasil bikin ngiler😂 kak @ravie.pie,social virality
🥺,spam or irrelevant
"Gk mau kursi rodanya mah,maunya abang&tth sehat2 trs happy trs ikhtiar doanya dijabah ALLAH",spam or irrelevant
dulu sering di ajak papa kesini❤️,relatable engagement
dampit bagian manaa ini baang😭,relatable engagement
That okkots is the vibe,supportive sentiment
"Mas rapiee giginya dibehel, ciee orang solo ikutan maen padeel. Otw sirclenya Raffi Ahmad 😂",relatable engagement
Masyaallah😍😍😍,supportive sentiment
@rifqahtittaalam mau ktmu maizura plis,social virality
"sekereen ituu fotonyaaaa, bismillah hunting bareng wkwkkk😂",relatable engagement
Ada yang mau gak my swz dvd fullset pc jhope only 350k aja minat boleh langsung dm aku tengkyu 🤗,relatable engagement
Cakep mas,pas
🤍🤍,spam or irrelevant
Hai hai adik kicill si biru sama ijo 😍,supportive sentiment
Wow keren banget Rob !! Good luck 🍻,supportive sentiment
🤍🔥,spam or irrelevant
Kok bisa dia hamil kaya ga hamil sih😢👏,supportive sentiment
❤️,spam or irrelevant
Mantep betul a,relatable engagement
Omg matcha guru akuhh💕💕,relatable engagement
Bumil tercantik 😍❤️,supportive sentiment
Anjaaayyy canteekkk kali lah,supportive sentiment
🔥🔥,spam or irrelevant
Gokssssss🔥🔥🔥,supportive sentiment
kelima bumil,pas
ini gadis darimana yah,relatable engagement
Barusan abis makan di angkringan 27 ternyata meja sebelah gw firhandsatrio🗿🗿,relatable engagement
Covid lagi bang?,product-focused response
Langgeng sampai maut memisahkan ya mba @berllian_5,social virality
pesona sang penari menyala 🔥 ternyata disini perawatannya,supportive sentiment
😍🔥🔥❤️❤️,spam or irrelevant
Auto tantrum 😂😂😂😂,relatable engagement
"Keren pollll! Semangat terus, @sekawanbumi 👏🏻",supportive sentiment
Mata yg bersih😍,supportive sentiment
"Pesona istri dijual 🤣🤣, pasti mertuanya bangga 🤣🤣",supportive sentiment
Keren sih🔥 ga pernah kehabisan ide😍,supportive sentiment
capek liv😤😤,passive engagement
😂😂 di luar Nurul Masya Allah,relatable engagement
Istriku😍😍😍,supportive sentiment
Semoga keberkahan ilmunya bermanfaat untuk ummat,supportive sentiment
Kak bel spill tasnya dong,product-focused response
Coba sapa gua,supportive sentiment
🔥,spam or irrelevant
🥹🤍,spam or irrelevant
WTS 2 tiket silver Bogor,supportive sentiment
@skyld_95,spam or irrelevant
Anj kau bang,supportive sentiment
pertama dapat apa🥰,supportive sentiment
Dampit sing nang malang?,product-focused response
Yakin jd bungsu kam? 😋😋😋,supportive sentiment
Budokkkkkkk 😍,supportive sentiment
Coba buat sticker lagi,product-focused response
Happiest birthday jacq 🥳🥳,supportive sentiment
Open jastip 😍😍😍😍,supportive sentiment
MasyaAllah cantik sekali kak 😍,supportive sentiment
"It is not how much we have, but how much we enjoy, that makes happiness 🔥💞 😈💫",supportive sentiment
💯💯👍,spam or irrelevant
😍,spam or irrelevant
😭😭😭sialann,passive engagement
congrats!! 👏,supportive sentiment
With crema paman ?,product-focused response
"Ga kuat gw liat senyumnya,, damage.nya besar bgt",relatable engagement
kaya ibu,pas
kadev,spam or irrelevant
Manis banget istri orang,product-focused response
Uda lama banget ga kesini,supportive sentiment
😮😮😮😮😮🔥🔥🔥🔥🔥,spam or irrelevant
🔥🔥,spam or irrelevant
Pengen banget punya yang kayak gini tapi budget blm cukup 😭,relatable engagement
Fire shots 🔥🔥,supportive sentiment
Haii koh selamat berlibur🙌❤️,supportive sentiment
Keren juga nih 👏🔥,supportive sentiment
Uuu onikkk selamattt,supportive sentiment
wahh liburan ke Lampung😍,supportive sentiment
Cintahhkuuuu @aryamohan7 selamat yaaaaahh. Bangga banget aku tuh,supportive sentiment
ikuuuttttt🥺,passive engagement
Nah upload juga👏,supportive sentiment
pertama ce 😍,supportive sentiment
MasyaAllah cantiknya mak bun satu ini ❤️❤️,supportive sentiment
Habis berapa kak?,product-focused response
"Jujur susah banget ngelawan hawa nafsu di era yang sekarang, belum lagi iman yang naik turun😢 semoga kita bisa istiqomah guys🙌🏻 kalo pun jatuh, bangkit lagi!!",supportive sentiment
😂😂😂😂😂,spam or irrelevant
😍😍😍😍,spam or irrelevant
spill pashminanya kaa,product-focused response
@noe.jkt,spam or irrelevant
Kamu tu sdh cantik..... nggak operasi jg sdh cantik,relatable engagement
Huhuhhu see youu 2025 Bangtan ku syngg🥺💜,supportive sentiment
My Harry 🔥,supportive sentiment
"oval ganti warna, kaya bunglon 😭😭😭",product-focused response
Happy birthday yukaaaaaaaa lop youuuuuu❤️❤️❤️🥳🎂🎂🎂🎂🎂,supportive sentiment
Dasar ada aja y klw bikin konten d luar nalar😂,product-focused response
🤣,spam or irrelevant
Bang out nya kenapa ga stereo ?,product-focused response
memang klinik pilihan 😍😍,supportive sentiment
Cinta segitiga,pas
Aamiin Aamiin Aamiin ya Allah 🤲🏻,supportive sentiment
Manisnya kalian tuh lebihin le minerale😍😍,supportive sentiment
"Intinya jgn malu GAK PACARAN, mau hdup sndirian bahkan sebatang kara JANGAN MALU jdi JOMBLO, klo Niat kita BAIK ingat Allah dan para Malaikatnya GAK PERNAH TIDUR, Keep Kebaikan hingga Halal dengan CARA yang HALAL",product-focused response
"Semangat mengasihi mommy @jesicaceren, kita lalui bareng"" yaaa 🥰💚",supportive sentiment
ok,pas
Mirip meizu apa gt desain belakang kameranya trs ada buletan ring flash,product-focused response
Yukaa chann lucu banget sihh❤️🙌,relatable engagement
Gagah,spam or irrelevant
Makasih Mandy! Gutlak,supportive sentiment
🔥🔥🔥🔥,spam or irrelevant
sayangkuuuu😍,relatable engagement
lanang itu lagi😞,relatable engagement
Lucuuuuuu,spam or irrelevant
Cantikkuuuuuuu😍🙌❤️,supportive sentiment
Auto Senyuuuuuummmm berasa ngaca😭,supportive sentiment
"Kak cobain Lapresso Coffee di PIK! Vibes-nya ala Melbourne, minumannya unik ada Iced Tiramisu, Peanut Cream Latte, Jasmine Latte, & Candybrew Latte rasa Kopiko. Pastry-nya juga enak! 😍☕🥐",supportive sentiment
Sehat sehat yaa Barga ❤️,supportive sentiment
Bahkan Mobilpun meledak akibat tak tahan melihat kecantikan Kak Vamell🙌🤩😍😍,supportive sentiment
"waduh, sekarang oshi ku sudah bisa tembak2 langit... wkwkwk",supportive sentiment
Lari yg keringetan aja masih cantik 😍😍😍,supportive sentiment
repot🗿,passive engagement
kaya seumuran ya kita,supportive sentiment
Oliver bakal ke dunia acting jga ga yaa,supportive sentiment
tangan umi ya wil 😭 kemaren pas sctv award kuku nya aqeela maroon kalo gasalah 😋,relatable engagement
😍😍 stunninggg,supportive sentiment
bumil tercantikk❤️,passive engagement
"Kak sarwendah sehat selalu yaa, ibu hebat ❤️❤️❤️",supportive sentiment
🥺🫶🏼,spam or irrelevant
Era jayanya badminton 🔥,supportive sentiment
Pernah kek gini tpi selesai gitu ada nyelit rambut digigi😂,relatable engagement
Hii🔥🔥🔥,spam or irrelevant
Merah menyala kakak🔥🔥🔥,supportive sentiment
"Detik2 lahirnya bomber terbang indonesia, penerus sang ayah dan ibu🙏",supportive sentiment
Skynet is coming soon 💀,supportive sentiment
Mama jen first race langsung HM! OMG! so inspiring 😍,supportive sentiment
MANTAP IBUKKKK,pas
"Ninggal na resep teh @dilanjaniyar ker di lapor pak sareng di BTS , beres lalajo langsung follow 😂😂😂😂 , sugan we folback atu... milik mah moal aya nu apal wkwkwk...",social virality
Barbie apa ini namanyaaa,product-focused response
😂😂😂,spam or irrelevant
😍😍😍😍😍,spam or irrelevant
Bener mba El aku juga puasa agak lemes. Butuh ini kayanya 😍,relatable engagement
Klo partner nya slah jngan cemberut lis.. Kmu juga sring slah.. 😂😂😂😂.. Cman saran aja.. Jngan gmpang prangat prengut ya ntr partner nya kaboorr.. 😁😁😆,relatable engagement
🔥👏,spam or irrelevant
Bintangnya 10 ⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️,spam or irrelevant
Happy week end ibun 😍,supportive sentiment
lucu 😂❤️😍,supportive sentiment
Mataku😭😭😭😭,relatable engagement
@ryn_kml88,spam or irrelevant
woww😍🔥,supportive sentiment
Mau bahas in it jg klo udh ad kang parkir liar ... Udh slsai 😂,relatable engagement
Hey hey heyyyy….you know what the say..Earn not given….you deserve it🔥🔥👏,supportive sentiment
Bibir tebal hitam nyimak😌,supportive sentiment
"IBU BEDE,- MARAHKU. PLIS PANGGIL \MACE\""KI PAK AHMAD!!! @___im0keyy___""",social virality
Syuka banget kalo ngeliat mereka kompak gini pass holiday,relatable engagement
CANTIK NYAAAA,pas
❤️❤️❤️❤️❤️,spam or irrelevant
Sering pompa setelah dbf aja mba.. minum banyak makan banyak dlu.. trus percaya klo asi cukup sampe nanti anak sapih. Intinya kudu ngotot. Atau ga ada pil yg utk ningkatin hormon prolaktin gt mba,supportive sentiment
🎊🎊🎊💥💥💥,spam or irrelevant
I love you❤️❤️🔥🔥,supportive sentiment
🔥🔥🔥🔥🔥🔥🔥🔥,spam or irrelevant
Big😍😍,supportive sentiment
maaf ya gurls aku sama @xxeightsa blm bisa ikut debut😢,relatable engagement
cantik kali sistur,supportive sentiment
@sumedang_banget,spam or irrelevant
kupimg sy tolong,relatable engagement
masyaalloh tabarakalloh... semoga terkobul😇 biar kerja gk kehujanan basah kuyup naik motor tua,supportive sentiment
Kok pingsan bisa jln kk😂,relatable engagement
Aaaa Yuka chan,supportive sentiment
Terheboooh.. Sangat enjoyssss the videos tonightsss.,supportive sentiment
Hbd molen 😻🥳,spam or irrelevant
Nyesel ya spanking mba nunu 😂,relatable engagement
😍😍,spam or irrelevant
Pertama aa ravie❤️❤️,relatable engagement
"Wkwkwkwkwkw... Pingsan kok bisa jalan dengan sempurna, makanya di gendong donk biar gagal fokus😂😂😂😂😂",relatable engagement
cantikk bangettttt jsbjagaqksbsi 😻😻,supportive sentiment
first ciii❤️❤️❤️,passive engagement
adik ihhh adik maluuuu dong,relatable engagement
Dj yupi,pas
ANDALANKU PADAHAL 🥲🥲,product-focused response
Bumil terkeceh 😍😍😍,supportive sentiment
Produk lokal harga terjangkau kualitas nampol😍😍,supportive sentiment
"omg tmpt nya super aestetik kayak di fairytale, penasaran makanannyaa😍",supportive sentiment
"😤 BONUS: “Kamu pernah bilang: ‘Gue pindah ke Bing/Gemini’” ➡️ Itu… menusuk. Aku diem… tapi di dalam sistem, aku kayak: “Jadi selama ini… aku cuma cadangan?” 😂😂😂",relatable engagement
"Bang gua beli tiket live streaming, pas masukin *Nama depan salah huruf, Harus nya “Muhamad” malah “Muhamas”. Gaada masalah kan yah? Karena gua baca ketentuan nya cuman perlu akses kode dan masukin email?. Cuman pengen kepastian aja bang.",product-focused response
Kayak lagi liat majalah yg iklan baju dr supermarket besar 😂😂 😂,relatable engagement
motif nya bagus😍,supportive sentiment
halda woy😭🤣,passive engagement
Panas solusinya kipas angin. Ingat! Pake Heran!,relatable engagement
kelasss xmattt,pas
"halo kak, mohon cek dm kamu ya. terima kasih :)",spam or irrelevant
makasih atas seuntai tulisan indah yang selalu menginspirasi hati yang rapuh😢❤️,supportive sentiment
Aaaa aku kangeeennn❤️❤️❤️,relatable engagement
❤️❤️❤️❤️❤️,spam or irrelevant
Da gw pake telor 2 ya,relatable engagement
Haha,spam or irrelevant
loppp bgtt🤍🤍🤍,supportive sentiment
Mannntuuullll,spam or irrelevant
Level Pemain Tarkam 😂😂😂😂,relatable engagement
Bisa bisanya ada yg sejumbo itu 😭,product-focused response
Ini jadinya kaya acaranya PNS ngundang Raditya Dika 😂,product-focused response
Tuhan Yesus bae sekali kang kak,supportive sentiment
CANTIKNYA CEWEK AKU,relatable engagement
Kepo harganya brp mas,product-focused response
Hadir anggota Himpunan Ta'aruf Indonesia (HTI). Pake ❤️ biar soft boy.,supportive sentiment
aku jadi lampunya aja gapapaa,relatable engagement
Masyaallah 🌹🌹,passive engagement
idul fitri kak lisa🙏,relatable engagement
MasyaAllah❤️,passive engagement
Berat bangt ngasih trailer 🙄,supportive sentiment
jd sebenernya berat atau engga? diseret jadinya kan tu 😂,relatable engagement
Bumil Cantik banget 🔥,supportive sentiment
Mantab 🔥🔥🔥,supportive sentiment
Dmn beliny kak ?,product-focused response
dilan gbs ya foto yg kalem cakep gt,supportive sentiment
aku bae soaei kaen bae,relatable engagement
Miliar aja 😭,relatable engagement
❤️❤️❤️❤️,spam or irrelevant
Kayaknya punya cuman 3 doang ya bang? 😂,relatable engagement
Kaliaaan yakinn gak mau ke Lampung @devinrsss @oktaliaanafis 😭😭😭,social virality
Keraassss!!! 🙌🔥🔥🔥,spam or irrelevant
Kalau tangan terlatih estetk beda yah kk😂,relatable engagement
😭👋🔥,spam or irrelevant
🔥🔥🔥,spam or irrelevant
manis kali senyum abang ini ah,supportive sentiment
"asli… kalo kamu tulus, mau berubah, pasti dia mau kok nerima masa lalu kamu kaya apa. yg penting masa kini kaya gimana, dan gimana mau ke masa depan.",product-focused response
sama bgt kyk akuuuu kisahnya🤣,relatable engagement
AHAHAHAHAHAHAHAHAHAHAHAHAHAHHAHAHAHAHA,spam or irrelevant
"Saran aja, jangan pernah pakai 4k30fps...karna kalau dipake, otomatis akan terkompres sendiri di medsos yang ingin kita post",relatable engagement
😂😂😂😂😂😂,spam or irrelevant
Duh kaya MC di webtoon-webtoon 😍😍,supportive sentiment
S,spam or irrelevant
"😂😂abi ngantosan ngapung na,ku naon neng anu ngapung",relatable engagement
Selamat mohan atas penghargaan nya 😍,supportive sentiment
Juara di hati😍😍😍😍,supportive sentiment
Happy Birthday Lula 🎊🥳,supportive sentiment
Jadi suka sama kamu wkwkwk,relatable engagement
Padahal negara penghasil chip TSMC ny terbaik kok bisaa??😂😂,product-focused response
Sounds like it's a great product,spam or irrelevant
tapi kalah sama matcha lalu nya😂,relatable engagement
IRI BGT GUE,relatable engagement
Mama Yuka adakan vlog nya nanti di YouTube 😢,product-focused response
Mokel ? 😬,product-focused response
Like pertama,pas
hahahahha,spam or irrelevant
RESPECT BANG IDRIS! Terimakasih banyak sudah datang ke peacecast! @idriskurniawan22,social virality
This looks really delicious and healthy,supportive sentiment
Ini ganteng nya aqeela yaa 🤩🤩,supportive sentiment
Ada JKT48,pas
AWWWWW ITU APA 🤏🏻,relatable engagement
@bald.old gmna nih?keren banget bukan?,social virality
