post_caption,predicted_label
"📍Keukenhof, Netherlands🌷🇳🇱. Buat kalian yang penasaran tentang: 1. Cara lihat bunga tulip di Belanda 2. Rekomendasi 5 Tempat Makanan Enak di Belanda 3. Biaya hidup di Belanda sebagai turis 4. Review hostel affordable di Belanda Bisa check ke @jejaksonia ya 😊. Disana banyak resource gratis tentang cara hemat liburan di Belanda. Check story highlight “Belanda” untuk lihat link Vlog #JejakSonia episode 1-4 ❤️🎥. 🧥🥾Winter Coat & Boots from: @winterattire.id. Jangan lupa follow akun @jejaksonia dan subscribe YT-nya untuk tips traveling di 43 Negara episode berikutnya ✈️. #JejakSonia #43Countriesin10Years #fransiskasoniasvoyage #SoniainEurope #SoniainBelanda #SoniainNetherlands #SoniainAmsterdam #Keukenhof #TulipSeason #KeukenhofExpress #tulipdibelanda #tulipbelanda #TravelTips #SpringinNetherlands #ExploreEurope #ExploreNetherlands #belanda #explorebelanda #visitnetherlands #visitbelanda #netherlands",personal storytelling
"Yang kemarin minta hijab tutorial, ini yah! Udah ku buatin🫶🏻 Btw sblm ada yang nanyain aku pake hijab apa disini, hijab yang aku pake ini dari @lafiye yang premium satin silk ‘adelite’ yahh #hijabtutorials #lafiye",product-focused
Ini cara aku pakai skiv rounya @lafiye. Semoga membantu bestie💕 #lafiye #skivrouscarf #tutorial #tutorialhijab #phasmina #phasminakaos #tutorialphasmina,product-focused
"Bulan lalu @buttonscarvesbeauty launching produk baru yaitu Everyday Velvet Rouge Lipstick! Dan i’m in love with this product😍 soo much! Bener-bener jatuh cinta pada pandangan pertama. As always! semua produk-produk dari @buttonscarvesbeauty memiliki packaging yang mewah. Di produk ini Tutup lipsticknya itu sudah magnetic loh guys! Keren bngt! Finishnya bener bener smooth, ga bikin bibir kering terus ringan banget!!! Yang aku punya ini ada 3 shade yaitu persistence, kind dan brave. @buttonscarvesbeauty #reviewnyabalqis #unlockyourbeauty #buttonscarvesbeauty #lipstick #velvetlip #rekomendasilipstik",product-focused
NEW SUNSCREEN ALERT! Skintific Bright Fit Serum Sunscreen. The tone up is real and it stayed all day on my skin without feeling greasy and not leaving any whitecast. Bisa banget jd one step base buat kamu yang ga punya banyak waktu! #rekomendasisunscreen #sunscreennowhitecast #sunscreen #toneupsunscreen,product-focused
"26 today! Another year hotter, wiser, and still blocking people for peace. HAHAHA I Love You All🤍🤍🤍🥳🎂",personal storytelling
"The little sparks are back, dancing around the frangipani and blooming like love that’s been patiently waiting. This time, Buttercup introduces a new kind of love. With Talula as our love muse, she will guide you how to love yourself. 💋💋💋",personal storytelling
"Replica By The Fireplace It's like being hugged by a chilly forest. The smell brings back memories of cold seasons, with the woody fragrance making it feel as if you're wandering through dry woods, embracing the crisp air and the cozy feeling of winter. #fragrance #edp #maisonmargiela",product-focused
"Signature lips, my way. Effortless, flattering, and just so me✨ . @yslbeauty @diorbeauty",product-focused
"I kept this place in my heart for us. But time passed, went there without you and somehow the art still spoke. - finally walked into the memory we never got to make🖼️",personal storytelling
Introducing to chosen women of MIRACLE RUNAWAY presented by @pondsindonesia Breaking the stigma surrounding women over 30 Join us in celebrating timeless beauty and ageless elegance at Jakarta Fashion Week 2025 from 21-27 October 2024 at Pondok Indah Mall 3 #miraclesrunwayatjfw #jfw2025 #miracleshappen,call-to-action
"Bangga terpilih menjadi 8 muse buat runaway bareng sama @pondsindonesia di panggung @jfwofficial beneran terkejut dan terharu bisa catwalk bareng Dian Sastro, Asti , Suci Idol dan Ayla Dimitri Terima kasih buat semua yang sudah support aku online dan offline Buat 15 wanita hebat lainnya kamu amazing wanita 30 above teruslah berjuang bermimpi #miraclehappen Udah ga tau mau nulis apa lagi pokoke terharu bangga dan makasih banyak 😘😘😘😘",personal storytelling
Akhirnya terbit juga 😍 bangga sekali bisa menjadi bagian dari @jfwofficial dan juga @pondsindonesia Thanks for the miracle happens @dewimag #miraclehappensatjfw,engagement-inviting
"Duo combo @whitelab_id moisturizer dan serum yang ada kandungan niacinamide nya bikin wajah auto cerah, aku suka banget karena serum dan moisturizer nya cepat banget nyerap dan cocok buat semua jenis kulit #beneransebagusitu #whitelab",product-focused
"Mau liburan sekolah, jangan lupa pesan @bluebirdgroup pake fixed price di aplikasinya biar liburan tenang dan juga nyaman #bluebird#fixedprice #mybluebirdapp",product-focused
zubizubizhu👩‍🍳,no meaningful message
last minute decision,no meaningful message
bandung 25 jam,no meaningful message
👹🎀🐁,no meaningful message
meiske,no meaningful message
"Bad Casting Eps.1 | Agar silaturahmi tak terputus, bolehlah pinjem dulu seratus 😶",engagement-inviting
Emang iya begini? #cogil,no meaningful message
Kentut wangi red velvet,no meaningful message
jangan sampe anak tongkrongan lu tau,no meaningful message
Kocheng kok sok jual mahal gitu ya?,no meaningful message
"Beginilah ya kalau pacer nya cewek cewek kebanyakan gula 🤪✌🏻 @btn_jakim @mizunoid sedikit cuplikan yang sayang kalau gak di post😜🤏🏻 untuk gerbong 2.45 kalian super keren! Kompak & seru banget, mulai dr nyanyi, berdendang, tebak kata, adu pantun semua dilakuin! 🫰🏻🤣💃🪩💨 Bahkan tiap dari water station, barisan langsung balik lagi dengan rapi!! Terimakasih banyak para runners yang kemarin ikut seru2 an di gerbong kita ya ✨🫶🏻😍😜 Terimakasih atas kepercayaan nya menjadikan kita pacer woohoo @btn_jakim @mizunoid event nya luar biasa!🥳❤️♥️💙💙 #BTNJakim2025 #pacer #mizuno #halfmarathon",personal storytelling
"#mandatorymedalmondaypost 🥇 still can’t believe (once again) that i got to be here, from a nobody to a half marathon pacer… what an experience! 🥹🫶🏻 wlpn di tengah - titik kritis i wasn’t feeling my best, tapi energy dari gerbong hm sub 2:45 & also my pacer mate @taammonste @hayatinupush11 bener benerrr rame, solid, and so full of spirit. it kept me going all the way to the finish line!!😭 again, huge thanks to the @mizunoid team & @btn_jakim for giving us such an incredible and well-prepared experience from the very beginning, aku jadi kenal & bertemu banyak orang seru, baik hati & hebaat🥹 esp @iwansaktiawan7 @bella.scholastica @sarfinasheila @luthfigo @dickyafs (hiks gaada foto brg coach dicky selama event). truly an honor to be trusted with this role, and even more special to cross the line strong, happy, and right on pace. what a day! 💙✨",personal storytelling
"incredibly grateful to be selected as one of the Mizuno pacers for the Half Marathon Sub 2:45 category at BTN Jakarta International Marathon 2025!!🥹🫶🏻 it really such an honor to take part in one of the city’s major running events and cross the finish line strong, happy, and right on target with the pacing goal ✨ thank you so much!! @mizunoid @btn_jakim #btnjakim #btnjakim2025 #jakartainternationalmarathon",personal storytelling
"Just did my interval session (road to @btn_jakim) yesterday, and laced up in the Mizuno Wave Rebellion Pro 3!⚡️ It felt super bouncy and responsive, with crazyyyy energy return 🤯 Definitely one of those shoes that pushes you forward the moment you push off the ground!",personal storytelling
track state of mind 🤓⚡️ 📸: @olahragadifotoin,no meaningful message
"""It's a beautiful thing when career and passion come together.."" 🎙️Podcast Ditlantas Polda Sulut bersama Kapolda Sulawesi Utara, Irjen Pol. Drs. Setyo Budiyanto, SH. MH Ngobrol apa aja? Cuss nonton selengkapnya di channel youtube Ditlantas Polda Sulut yaaaa 😉 #podcast #kapoldasulut #poldasulut #polri #ditlantaspoldasulut #direktoratlalulintas",personal storytelling
"Bukan kuat dan hebatku, tapi karena Tuhan Yesus yang terlalu luar biasa.. 😭😇 Pencapaian tahun 2024 jauh melebihi harapan dan ekspektasi. Kerja keras dan proses yang berbuah manis. 🥹 Tetap semangat untuk para pejuang diluar sana. Kalian hebat! I'm very proud to be a professional master of ceremony 🥰💝🎤 #jurnaltasya #masterofceremony #mcmanado #mcgorontalo #recap2024 #mc #moderator",personal storytelling
Sumber air sudekat.,no meaningful message
Sumber air sudekat.,no meaningful message
Auto bungkus Yamaha Grand Filano gegara Sentral Yamaha Calaca Manado so buka gengss 😍🫶 CUSS JANG NGONI KETINGGALAN !! 😚 #jurnaltasya #yamaha #yamahamanado #yamahasemakindidepan #promoyamaha #sentralyamahacalaca,call-to-action
"Puasa kok lemes terus? :( Padahal pengen banget ibadah lancar dan tetap produktif seharian.. Ini dia rahasia energiku selama Ramadan. Inoru Tea rasa leci yang seger banget 🤤. Tonton videonya sampai habis biar tau gimana teh ini bantu aku tetap fit. Teh hijau alami di Inoru Tea bantu jaga energi, lancarkan pencernaan, dan tinggi antioksidan lho. Jadi, badan tetap fit, ibadah nyaman, dan aktivitas lancar. Aku udah buktikan sendiri. Ga cuma itu, rasanya juga enak, plus sudah sertifikasi BPOM, cocok nemenin sahur dan berbuka Make this Ramadan your best one with Inoru Tea. Check out @inoru_tea or visit inorutea.com for more info. Ramadan Kareem 🌙 #inorutea #inoruslimmingtea #healthyramadan #ramadhansehat #healthyliving #greentea #lycheetea #antioxidants #antioksidan #healthyhabits #ramadantips #ramadanrecipes #puasalancar #ramadanboost",product-focused
"Sering ngerasa perut buncit dan susah BAB? 😩 Pasti ganggu banget, kan? Nih, aku punya solusinya. Aku lagi rutin minum Inoru Tea rasa leci yang enak banget 😍 Teh hijau celup ini bukan cuma bikin seger, tapi juga bantu mengurangi lemak tubuh, melancarkan pencernaan, dan bahkan bisa menurunkan berat badan. Udah BPOM dan bahannya premium lho.. Aman banget buat jangka panjang 🥰 Yuk, cobain juga. Cek @inoru_tea atau website mereka di www.inorutea.com untuk info lebih lanjut dan cara pembelian #inoruslimmingtea #inorutea #tehhijau #dietsehat #bodygoals #sehatalami #tehleci #inoru #goodlife #tea #teatime #tealover #tealovers #diettea",product-focused
"STOP pakai setting spray kalau caranya masih salah 🙅🏻‍♀️ Ada teknik yang bikin makeup kalian tahan lama, yaitu Sandwich Technique. Kenalkan setting spray NPURE, 1st No Alcohol Continuous Mist Setting Spray di Indonesia dengan hasil matte flawless. Sudah triple-tested: hypoallergenic, non-acnegenic, dan dermatologically approved 😍 Ini setting spray vegan, halal, dan aman untuk bumil & busui, plus tanpa bahan berbahaya lho.. Sudah waterproof, sweatproof, dan smudgeproof, yang bikin makeup kamu tahan seharian 😇 Yuk ikutan pake dan lapisi setiap layer makeupmu dengan setting spray NPURE untuk hasil maksimal. Beli sekarang dan rasakan bedanya 💚 #npure @npureofficial",product-focused
"Lebih dari sekadar mencerahkan ✨ ROOTIN Beauty Collagen @rootin.id memberikan manfaat lengkap untuk kulit dan tubuhmu. Selain mencerahkan dan meningkatkan elastisitas kulit, ROOTIN Beauty Collagen juga membantu meningkatkan sistem kekebalan tubuh, menjaga kelembaban kulit, dan mendukung kesehatan tulang. Berikut kandungan Rootin Beauty Collagen: Tripeptide Salmon collagen bermanfaat untuk: - Membantu meningkatkan elastisitas kulit & kekenyalan kulit - Membantu mengurangi, garis halus dan memperbaiki tekstur kulit - Mendukung pertumbuhan rambut yang sehat dan kuku yang lebih kuat L-glutathione bermanfaat untuk: - Mencerahkan kulit dan glowing - Membantu mengurangi masalah kulit seperti flek, bekas jerawat, flek dan bitnik-bintik gelap Ekstrak sarang burung walet bermanfaat untuk: - Membantu meningkatkan sistem kekebalan tubuh - Membantu membuat kulit lebih muda dan mencegah keriput - Menjaga kelembaban kulit - High Antioxidant Vitamin C bermanfaat untuk: - Menguatkan kekebalan tubuh - Membantu mencerahkan kulit Premiks Vitamin - Mendukung kesehatan tulang Kekebalan tubuh - Membantu menjaga kesehatan kulit Dengan ROOTIN Beauty Collagen, kamu ga hanya mendapatkan kulit yang cantik, tapi juga tubuh yang sehat dan bugar. Jangan lewatkan kesempatan untuk memiliki kulit yang sehat dan glowing. Order ROOTIN Beauty Collagen sekarang di ecommerce favoritmu 😊. Dengan #rootin, #sehatluardalam ❤️ #ROOTINBeautyCollagen #KesehatanKulit #HealthyLifestyle",product-focused
"Emang enggak capek jadi people pleaser? 🫵🏻😩 #tulisanirin — #selflove #friendlyreminder people pleaser, real talk",engagement-inviting
"A little picnic in the city—just without the basket. Let the gingham do the talking. 🧺🍒🪁 Scroll till the end for the full look! 👀 — #picnicdate #outfitideas #outfitinspo gingham outfit, date ideas",personal storytelling
"Hiding the truth just to be loved is manipulation, not love. ☺️ #tulisanirin — #relationshipquote #quotestoliveby #relationshipadvice relationship problems, honesty, manipulation",personal storytelling
"When words fail, let the cake speak. 🍰 — #simpleook #outfitideas #ootdfashion simple outfit, lettering cake, quotes to live by",personal storytelling
"Mohon maaf lahir, batin, dan postingan Lebaran yang belum habis-habis. 🤣🙏🏻",no meaningful message
"💌 #MeetAngel: The intro to my movie 🎀 aka get to know me a little I’m angel. I sew sometimes, I style always. And this is basically my fashion diary. If you like lace, ribbons, jahit2an, and outfits that feel like you made an effort just because, you might feel at home here ✨ Sometimes I still can’t believe I get to call this part of my life. Thank you for being here, seriously. Every little support means more than you think 🫶🏻 . . . . #personalstylejourney #narratortrend #fashioncreator",personal storytelling
"My wardrobe comfort picks 🤍 Not every outfit has to be loud, some just feel like me. Thank you @pixfootwear for being part of my everyday ease 🩰✨ . . . . #LifeOfPixies #outfitrotation #softgirlstyle #outfitrepeater",product-focused
lately it's been embracing the art of outfit repeating and wearing the clothes i love over and over again 🤎☕️ ⊹ ࣪ ˖ — top: @asmaraguise pants: @ocha.wear x @valeriepola heels: @mooresei.official . . . . #outfitinspo #ootd #outfitinspiration,product-focused
love language is @ferragamo fiamma — smells like memories i never got to say out loud ❤️ . . . . #FerragamoFiamma #FerragamoParfums,product-focused
timeless outfit details : choco dress @mango (the key of the looks!) bag @katespadeny bracelet @the palace_id #timelessstyle #outfitoftoday #elegantstyle,product-focused
here is the detail product used : - tinted glass H2Oil shade “pink plastic” (1st shade) - tinted glass H2Oil shade “wife me up” (2nd shade) both from @madformakeup.co 🤍 #lipgloss #lipswatches #makeup,product-focused
when the complexion and highlighter do my makeup so well✨❣️ . . . . . #glowymakeup #naturalmakeup #beauty,personal storytelling
yesterday’s activities : 🧺💐,no meaningful message
attended the “Grand Opening GUESS Accessories” with their newest collection and newest concept store at @summareconmall.bandung go there now girls! @guess @gilangagung.id 🤍 oh! with their collaboration tho @josefabakery @cottoncandy_and_snack_corner @instaxindonesia @onthepenthays @steybyhery,product-focused
"Tahun ini, @Google menyelenggarakan Local Guides Summit ke-2 untuk orang-orang yang berkontribusi di wilayah mereka ke @GoogleMaps dan Google Search. Google mengundang 150 Top Contributors dari 62 negara ke markas besar Google di Mountain View, California. Pada 2016, ada 75 peserta dari 37 negara. Berbasis data dari panitia. Tahun lalu, ada 5 juta Local Guides di seluruh dunia. Hebatnya, jumlahnya kini telah meningkat menjadi 50 juta meningkat 10x dalam satu tahun. Jadi revisi yah, tahun 2017 delegasi Indonesia berhasil terpilih dari 50 juta Local Guides seluruh dunia, bukan bersaing dengan 200 ribu sekian hehe. Semangat rek buat tahun depan! Courtesy by @pagipagi_nettv @netmediatama. Cc @ristekdikti @kemenpar @kemenpora @univ_airlangga @satuunair @globalunair @amertaunair @mahasiswaairlangga @unair.students @unair.story @haiunair #Google #LocalGuides #LGSummit17 #OnGoogleMaps #TeamPixel #GlobalUNAIR #UNAIR #AirlanggaUniversity #UniversitasAirlangga #Amerta2017 #BanggaUNAIR #BanggaSurabaya #BanggaSidoarjo",product-focused
"Klo sebelumnya moment ter-grogi ialah saat sharing tentang bisnis kopi tahun lalu di panggungnya @superadventure_id di event @indonesia.summit Ini kedua kalinya moment paling grogi seumur hidup, naiknya cuma beberapa menit persiapannya bikin kepikiran wkwk Gimana ga deg”an bicarain product launch realme Buds Air 5 dikonsep chit-chat, takut salah omong karena ini bener” pengalaman pertama kali seperti ini di panggung utama dan ditonton oleh para tech influencer top of mind indonesia, BA realme Indonesia, awak media, brand kolega & partner realme Indonesia, tim realme Indonesia, realme fans seluruh Indonesia, realme friends seluruh indonesia dan penonton online live streaming. Ga kebayang sama sekali saya yang anak introvert, yang dulunya pas kuliah ga berani ngomong di depan anak SMA, sekarang bisa dapat kesempatan ini. Terima kasih banyak untuk kesempatan dan kepercayaannya @realmeindonesia @realmecommunity @realmeglobal Sampai jumpa di moment” selanjutnya! Lets Rockin! #realmeIndonesia #realme5thAnniversary",personal storytelling
Terima kasih banyak sudah support dan menyempatkan datang langsung Mba Wakil Menteri @kemenparekraf.ri Mba @angelatanoesoedibjo di acara pertama kami BODRIE COFFEE FESTIVAL @bodriecoffeefestival by @bodrie1934 POWERED BY : @urbanrepublicid @dji.era @superadventure_id @naturasa_id @realmeindonesia @denali.indonesia @scurolavino @indibiz.id @gmxgear.id @grabjatimrek @cgv.surabaya @cozmeedofficial NATIONAL MEDIA PARTNER : @kemenparekraf.ri @pesona.indonesia @genpiindonesia @indonesiaroamers LOCAL MEDIA PARTNER : @eventjawatimur @ehayokngopi @surabayaguides SUPPORTED BY : @cleopurewater @plazakamera @ifi_surabaya @dignityproduction @ledscreenindonesia @indische1931 @indischenetwork @urtrip.id COMMUNITY SUPPORTED BY : @kungfumedia_ @surabayaguides @homelesscaneat @kawbike @kyy.cc @bimasakticare_official EXHIBITION BY : @urbantoyssurabaya @rfc.surabaya OFFICIAL BEANS BY : @moodmaker.cc WORKSHOP BY : @artonea @bararupa_ @nest.ps POP UP MARKET BY : @persy.id @maquiremqr @cenilwaetoys X @mightymilbo X @robot_cimot X @toysofhendrik X @arengk.id @got.pierced @littletattoosstudio @nakedleatherworks @dokevishoes @lakone.coffee @maniq.panik1 #bodriecoffeefestival #bcf2023 #kitaterkoneksi #bodriepeople,product-focused
"🌤️ Aksi Nyata Sekawan Bumi Jaga Alam di Hutan Wakaf YPM🌱 Setelah malam penuh inspirasi diisi dengan diskusi dan observasi, pagi ini kami lanjut dengan aksi konkret menjaga alam di Hutan Wakaf YPM! 🔧 Finishing maintenance pendopo shelter 🏗️ Lanjut pembangunan rumah pembibitan pohon di lokasi ke-2 🌱 Di sini, kami akan memproduksi bibit pohon rimba seperti: Trembesi, Beringin, Nangka, Kopi, Durian, dan masih banyak lagi Langkah kecil ini kami yakini sebagai bagian dari perjuangan panjang dan bentuk konsistensi kami dalam menjaga keseimbangan alam 🌳 Karena setiap pohon yang tumbuh adalah napas baru untuk generasi masa depan. Kalau kamu punya lahan, komunitas, atau sekadar semangat yang sama untuk merawat alam/hutan di sekitarmu — yuk bersama sama kita kolaborasi bareng Sekawan Bumi 💚 Langsung aja DM admin @sekawanbumi dan kita mulai dari hal kecil yang kita bisa lakukan ✊ #SekawanBumi #HutanWakafYPM #BibitPohon #RumahPembibitan #PerawatanHutan #JagaAlam #AksiNyata #KolaborasiHijau #TanamHarapan #HutanUntukMasaDepan #GerakanHijau",personal storytelling
"First time ke Korea bukan karena drama, bukan karena K-Drama atau K-Pop! Tapi karena satu kesempatan yang ngubah hidupku. Dari jadi fotografer & travel influencer, sampai akhirnya bisa eksplor Korea Selatan, dari makanan, budaya, sampai momen-momen unforgettable yang bikin aku jatuh cinta sama Korea 🇰🇷 Dan sekarang aku lagi berjuang buat balik lagi ke sana lewat program K-Influencer 2025! Yuk, ikuti perjalananku & jangan lupa dukung terus, siapa tahu next trip kita ke Korea bareng! Let’s experience Korea, together! 🇰🇷🇮🇩 @k_influencer_official @koreanet_official @kcc.id #KInfluencer2025 #KoreaVibes #IndonesiaKorea",call-to-action
TOLONG😭,no meaningful message
😔😔,no meaningful message
harus disensor🙏🏻,no meaningful message
creating memories🥹🤍,no meaningful message
"In her own pace, with her own power. 📸 Featured muse: @syaharanieptr She Earns. She Leads. She Glows #BreadwinnerClub #BreadwinnerPhotobooth #MagazinePhotobooth #JakartaPhotobooth #PhotoboothBlokM",personal storytelling
"kirain semua yg bikin trend ini bakal dapet douyin makeup, trnyata beda2 loh! 🤣 aku dapet igari makeup hihiiii 💘 #makeuptrend #igari #igarimakeup",product-focused
🌴🥥🌺,no meaningful message
"BALI DAY 3! 🌼 selama di Bali makeupnya lebih bronzy, banyak pake wrna yg neutral-warm & highlighter ga boleh lupa!! products used: @dalba_indonesia white truffle first spray serum @skintificid perfect stay velvet matte cushion - 02 @luxcrime_id seamless liquid contour - hazelnut @fentybeauty match stix contour stick - amber @esqacosmetics wonder crush serum liquid blush - icons only @jacquelle_official slim brow - dark brown @diorbeauty glow face palette @judydollindonesia 2in1 highlighter contour palette 01 @amuse lip smudger - 02 rose @cliniqueindonesia almost lipstick - black honey @mop.beauty G.W.S - 01 MLBB #islandgirl #islandgirlmakeup #summermakeup #beachmakeup #grwm #makeuptutorial",product-focused
"keracunan sama hairdryer di hotel Shanghai, pas balik indo langsung checkout @laifen.indonesia ternyata BAGUS BGTTTT 🥹🤍 ngeringin rambut jd super cepetttt apalagi rambut aku tebel poool hahaha",product-focused
throwing up my ʚɞcamera rollᰔᩚ,no meaningful message
attached 5 images⋆˚✿˖°,no meaningful message
album: december🎞️♡,no meaningful message
happiest here₊˚⊹ ᰔ,no meaningful message
happy in a million little ways⸜(｡˃ ᵕ ˂ )⸝♡,no meaningful message
Penasaran sama kehidupan jadi Mahasiswa di Korea?😌 Hello semuanya👋🏻 jadi welcome ke page aku yang aku bakalan post banyakkk banget kehidupan sehari-hari aku di Korea sebagai murid di Hanyang University! Dari SENANGNYA✨ sampai REALITANYA😭 !! Semuanya akan aku kasih kalian tau!!! Hadi untuk kamu yang pengen datang sini untuk belajar disini ataupun travel! Pastiin Follow & Comment & Tanya apapun yang kamu mau nanya! Akan kubahas satu satu sebisa mungkin!!😆 Nice to Meet You! 또 만나요!!!! #rowiekorea #kuliahluarnegeri #korea #kuliahkeluarnegeri #kuliahdikorea #koreatravel #makanankorea #hanyanguniversity #kulinerkorea #koreatrip #kfood #ktrip #kdrama #kpop #kuniversiry #hanyanguniversity #한양대학교 #kaburajadulu,personal storytelling
"DEMI MAKAN INI, AKU HARUS LEWATI HUTAN DAN BADAI... 😭🌪️🌲🍜 #rowiekorea #beginilahrealitanya Enggak, ini bukan drama Korea... tapi literally kisahku demi semangkuk jajangmyeon legendaris yang katanya ”once you eat, you can’t forget.“ Tempat ini udah buka puluhan tahun, isinya cuma local ajumma-ajumma, dan nggak bisa delivery harus ke sana langsung. Masalahnya... tempatnya tuh bukan di tengah kota, tapi di balik bukit, harus jalan kaki dari halte terakhir, dan waktu aku ke sana... hujan, badai, angin topan level ’hati yang ditinggal pas lagi sayang-sayangnya‘. Aku sempet mikir, ”Ngapain sih, cuma demi mie hitam doang?“ TAPI PAS SUAPAN PERTAMA... AKU LANGSUNG DIAM. INI ENAK BANGET TERUTAMA yang suka SEAFOOD Kuah kentalnya tuh nggak terlalu manis, lebih ke gurih asin, irisan bawangnya banyak, seafood nya tuh bukan potongan kecil pelit, tapi full fullan! Dan mie-nya... kenyalnya tuh kaya hubungan yang sehat: nggak lembek, nggak keras, pas. Aku sampai mikir, mungkin badai itu adalah ujian... dan jajangmyeon ini hadiahnya. 🎖️ Kalau kamu suka jajangmyeon yang lebih traditional dan nggak terlalu instan vibes, you HAVE TO try this one. 📍 산타의 돌짜장 (Santa’s Dol Jjajang) 💸 20,000₩~ ( for 2 people portion ) . Follow aku buat rekomendasi makanan lokal Korea yang worth the struggle 🫶 #RowieEkaEats #ohmygyeonggi2025 #2025OMG #Gyeonggi_story #ohmygyeonggi #gyeonggido #JajangmyeonChallenge #MakanSampaiDapat #KFoodHunt #MieHitamLegend #간장계장 #양념게장#자짱면 #이천맛집 #icheonrestaurant #gyeonggido #icheon",personal storytelling
"STOPPP! Ini bukan Incheon, ini Icheon‼️ Yang sering salah baca, merapat dulu deh 😆 Soalnya… ternyata Icheon tuh gak cuma outlet doang loh! Nih aku kasih 3 spot kece yang bisa banget buat one-day trip penuh healing, makan enak, dan foto-foto aesthetic! 1. 산타의 돌짜장 (Santa’s Dol Jjajang) 🦀🍜 Jjajangmyeonnya ENAK BANGET dan ada rasa seafood yang rich ada juga potongan kepiting ( 양념게장 ) yang juicy, makin nikmat kalau makannya rame-rame! ✨ Disajikan di hotplate besar, lengkap sama telur puyuh, jagung, dan sayur segar. Bikin kenyang dan puas! Ini aku berdua aja KENYANG PARAH! jadi bisa untuk kira kira 3-4 orang 2. 코코말디브 (Coco Maldives + Nevol the Sunset Café)🏖️☕🍰 Kayak lagi di resort tropis! Ada kolam renang biru jernih, rumah-rumah kecil lucu yang ngambang, dan vibe yang super chill. Aku mampir ke cafenya juga, dan view-nya BIKIN BETAH. Perfect banget buat healing sambil minuman segar apalagi pas summer & cake cantik. 3. 애련정 (Aeryeonjeong) 🛖🪴 Buat yang suka tempat tenang dan vibe tradisional Korea, wajib mampir ke hanok ini. Bisa duduk-duduk santai, foto-foto ala drama, dan menikmati danau di sekitarnya. 🍃📸 Jadi next time kalau ada yang bilang “mau ke Incheon,” tanya lagi… Incheon apa Icheon nih? 👀 #HiddenGemKorea #IcheonTrip #KulinerKorea #rekomendasirowie #koreatrip #icheon #ohmygyeonggi2025 #2025OMG #Gyeonggi_story #ohmygyeonggi #gyeonggido #애련정 #코코말디브 #산타의돌짜장",personal storytelling
