brand_name,industry,brand_id,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_value,growth_type,marketing_goal,brand_criteria,budget
Daia,FMCG,BRD025,['Generasi Z'],"['Perempuan', 'Laki-laki']",['Menengah'],"['Modern', 'Elegance']","['Introvert', 'Tenang']","['Inovasi', 'Kepercayaan']",high,Affective,gaya ceria aktif di Instagram aktif di Instagram suka skincare perempuan,8000000
Kispray,FMCG,BRD026,['Milenial'],"['Perempuan', 'Laki-laki']",['Menengah'],"['Simple', 'Cerah']","['Introvert', 'Tenang']","['Inovasi', 'Kepercayaan']",high,Conative,aktif di Instagram haul self-care self-care perempuan,24000000
Mitu,FMCG,BRD027,['Generasi Z'],"['Perempuan', 'Laki-laki']",['Atas'],"['Simple', 'Cerah']","['Ceria', 'Ekspresif']","['Estetika', 'Kesehatan']",stable,Cognitive,self-care self-care gaya ceria self-care aktif di Instagram,16000000
Zoya,FMCG,BRD028,['Generasi Z'],['Laki-laki'],"['Menengah', 'Atas']","['Aktif', 'Sehat']","['Fun', 'Energetic']","['Inovasi', 'Kepercayaan']",stable,Cognitive,suka skincare gaya ceria gaya ceria suka skincare suka skincare,35000000
Dettol Indonesia,FMCG,BRD029,['Milenial'],"['Perempuan', 'Laki-laki']",['Atas'],"['Modern', 'Elegance']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",stable,Affective,haul Gen Z Gen Z Gen Z perempuan,9000000
Nuvo,FMCG,BRD030,['Milenial'],['Laki-laki'],['Menengah'],"['Modern', 'Elegance']","['Fun', 'Energetic']","['Estetika', 'Kesehatan']",high,Cognitive,suka skincare perempuan haul haul self-care,21000000
Avoskin,Skincare & Beauty,BRD031,"['Generasi Z', 'Milenial']",['Perempuan'],['Atas'],"['Modern', 'Elegance']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",high,Affective,aktif di Instagram self-care self-care Gen Z gaya ceria,6000000
Somethinc,Skincare & Beauty,BRD032,['Generasi Z'],['Perempuan'],"['Menengah', 'Atas']","['Simple', 'Cerah']","['Fun', 'Energetic']","['Estetika', 'Kesehatan']",stable,Conative,aktif di Instagram perempuan self-care gaya ceria self-care,31000000
Scarlett Whitening,Skincare & Beauty,BRD033,['Milenial'],"['Perempuan', 'Laki-laki']",['Atas'],"['Simple', 'Cerah']","['Ceria', 'Ekspresif']","['Kreatif', 'Sosial']",stable,Conative,aktif di Instagram aktif di Instagram haul gaya ceria perempuan,11000000
Whitelab,Skincare & Beauty,BRD034,['Milenial'],['Laki-laki'],['Menengah'],"['Aktif', 'Sehat']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",high,Cognitive,aktif di Instagram haul self-care perempuan self-care,27000000
Luxcrime,Skincare & Beauty,BRD035,['Milenial'],['Laki-laki'],"['Menengah', 'Atas']","['Simple', 'Cerah']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",stable,Cognitive,aktif di Instagram Gen Z haul Gen Z self-care,8000000
Azarine,Skincare & Beauty,BRD036,"['Generasi Z', 'Milenial']",['Laki-laki'],['Menengah'],"['Modern', 'Elegance']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",high,Conative,aktif di Instagram perempuan aktif di Instagram Gen Z gaya ceria,25000000
Emina,Skincare & Beauty,BRD037,"['Generasi Z', 'Milenial']",['Laki-laki'],"['Menengah', 'Atas']","['Aktif', 'Sehat']","['Fun', 'Energetic']","['Inovasi', 'Kepercayaan']",high,Cognitive,perempuan self-care aktif di Instagram self-care Gen Z,14000000
Sensatia Botanicals,Skincare & Beauty,BRD038,"['Generasi Z', 'Milenial']",['Perempuan'],['Menengah'],"['Simple', 'Cerah']","['Introvert', 'Tenang']","['Inovasi', 'Kepercayaan']",high,Conative,suka skincare haul self-care gaya ceria perempuan,19000000
BLP Beauty,Skincare & Beauty,BRD039,['Generasi Z'],"['Perempuan', 'Laki-laki']",['Atas'],"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']","['Inovasi', 'Kepercayaan']",stable,Conative,self-care suka skincare Gen Z suka skincare Gen Z,4000000
ESQA,Skincare & Beauty,BRD040,['Milenial'],"['Perempuan', 'Laki-laki']",['Menengah'],"['Simple', 'Cerah']","['Ceria', 'Ekspresif']","['Estetika', 'Kesehatan']",high,Cognitive,Gen Z gaya ceria suka skincare self-care suka skincare,30000000
Elsheskin,Skincare & Beauty,BRD041,['Generasi Z'],['Perempuan'],"['Menengah', 'Atas']","['Modern', 'Elegance']","['Introvert', 'Tenang']","['Kreatif', 'Sosial']",high,Cognitive,suka skincare haul Gen Z self-care aktif di Instagram,10000000
Skin Dewi,Skincare & Beauty,BRD042,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",['Menengah'],"['Aktif', 'Sehat']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",stable,Conative,perempuan gaya ceria self-care Gen Z perempuan,23000000
Lacoco,Skincare & Beauty,BRD043,"['Generasi Z', 'Milenial']",['Laki-laki'],['Atas'],"['Simple', 'Cerah']","['Ceria', 'Ekspresif']","['Estetika', 'Kesehatan']",stable,Cognitive,perempuan suka skincare self-care self-care perempuan,7000000
Mineral Botanica,Skincare & Beauty,BRD044,['Generasi Z'],['Laki-laki'],['Atas'],"['Simple', 'Cerah']","['Fun', 'Energetic']","['Estetika', 'Kesehatan']",stable,Conative,suka skincare gaya ceria gaya ceria aktif di Instagram gaya ceria,26000000
N'Pure,Skincare & Beauty,BRD045,['Generasi Z'],['Perempuan'],['Atas'],"['Simple', 'Cerah']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",stable,Affective,aktif di Instagram perempuan Gen Z Gen Z aktif di Instagram,12000000
For Skin's Sake,Skincare & Beauty,BRD046,['Generasi Z'],['Perempuan'],['Menengah'],"['Modern', 'Elegance']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",stable,Affective,self-care self-care perempuan aktif di Instagram suka skincare,33000000
Votre Peau,Skincare & Beauty,BRD047,"['Generasi Z', 'Milenial']",['Perempuan'],"['Menengah', 'Atas']","['Modern', 'Elegance']","['Ceria', 'Ekspresif']","['Kreatif', 'Sosial']",stable,Conative,aktif di Instagram perempuan perempuan self-care suka skincare,9000000
Joylab,Skincare & Beauty,BRD048,['Milenial'],"['Perempuan', 'Laki-laki']","['Menengah', 'Atas']","['Aktif', 'Sehat']","['Ceria', 'Ekspresif']","['Inovasi', 'Kepercayaan']",high,Conative,haul Gen Z self-care haul Gen Z,28000000
Base Skincare,Skincare & Beauty,BRD049,"['Generasi Z', 'Milenial']",['Laki-laki'],"['Menengah', 'Atas']","['Simple', 'Cerah']","['Ceria', 'Ekspresif']","['Inovasi', 'Kepercayaan']",stable,Cognitive,self-care gaya ceria haul perempuan Gen Z,5000000
The Originate,Skincare & Beauty,BRD050,"['Generasi Z', 'Milenial']",['Perempuan'],['Atas'],"['Modern', 'Elegance']","['Fun', 'Energetic']","['Estetika', 'Kesehatan']",high,Conative,aktif di Instagram perempuan suka skincare haul self-care,22000000
Skin Science,Skincare & Beauty,BRD051,['Generasi Z'],"['Perempuan', 'Laki-laki']",['Atas'],"['Simple', 'Cerah']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",stable,Conative,gaya ceria haul Gen Z gaya ceria haul,11000000
Hanasui,Skincare & Beauty,BRD052,['Generasi Z'],"['Perempuan', 'Laki-laki']","['Menengah', 'Atas']","['Aktif', 'Sehat']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",stable,Conative,Gen Z perempuan suka skincare perempuan perempuan,29000000
Foxy,Skincare & Beauty,BRD053,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",['Menengah'],"['Aktif', 'Sehat']","['Introvert', 'Tenang']","['Kreatif', 'Sosial']",stable,Cognitive,aktif di Instagram gaya ceria self-care perempuan Gen Z,6000000
Glowinc,Skincare & Beauty,BRD054,['Generasi Z'],"['Perempuan', 'Laki-laki']",['Atas'],"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']","['Inovasi', 'Kepercayaan']",stable,Cognitive,haul Gen Z haul self-care Gen Z,25000000
Divine Beauty,Skincare & Beauty,BRD055,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",['Menengah'],"['Simple', 'Cerah']","['Fun', 'Energetic']","['Estetika', 'Kesehatan']",stable,Cognitive,haul self-care perempuan suka skincare gaya ceria,8000000
Mills Sport,Sport,BRD056,"['Generasi Z', 'Milenial']",['Laki-laki'],['Menengah'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']","['Estetika', 'Kesehatan']",high,Affective,haul aktif di Instagram aktif di Instagram Gen Z suka skincare,31000000
Ortuseight,Sport,BRD057,['Generasi Z'],"['Perempuan', 'Laki-laki']",['Menengah'],"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']","['Estetika', 'Kesehatan']",stable,Cognitive,Gen Z haul haul suka skincare haul,13000000
SPECS Sport,Sport,BRD058,"['Generasi Z', 'Milenial']",['Laki-laki'],"['Menengah', 'Atas']","['Simple', 'Cerah']","['Introvert', 'Tenang']","['Kreatif', 'Sosial']",high,Cognitive,Gen Z self-care self-care suka skincare aktif di Instagram,20000000
Bigetron Esports,Sport,BRD059,"['Generasi Z', 'Milenial']",['Perempuan'],['Atas'],"['Modern', 'Elegance']","['Introvert', 'Tenang']","['Inovasi', 'Kepercayaan']",stable,Cognitive,haul self-care perempuan gaya ceria Gen Z,9000000
Aura Fire,Sport,BRD060,"['Generasi Z', 'Milenial']",['Perempuan'],['Atas'],"['Simple', 'Cerah']","['Ceria', 'Ekspresif']","['Estetika', 'Kesehatan']",stable,Cognitive,haul aktif di Instagram suka skincare haul gaya ceria,27000000
Onic Esports,Sport,BRD061,['Milenial'],['Laki-laki'],['Atas'],"['Modern', 'Elegance']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",stable,Cognitive,haul self-care haul aktif di Instagram haul,7000000
Alter Ego,Sport,BRD062,['Milenial'],['Perempuan'],['Menengah'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']","['Inovasi', 'Kepercayaan']",high,Affective,self-care aktif di Instagram gaya ceria perempuan gaya ceria,24000000
GIVOVA Indonesia,Sport,BRD063,"['Generasi Z', 'Milenial']",['Perempuan'],['Menengah'],"['Modern', 'Elegance']","['Fun', 'Energetic']","['Estetika', 'Kesehatan']",high,Affective,haul aktif di Instagram Gen Z suka skincare gaya ceria,12000000
Specs,Sport,BRD064,"['Generasi Z', 'Milenial']",['Laki-laki'],['Atas'],"['Simple', 'Cerah']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",stable,Cognitive,Gen Z Gen Z self-care self-care Gen Z,30000000
Ventela,Sport,BRD065,['Milenial'],['Laki-laki'],['Atas'],"['Modern', 'Elegance']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",high,Affective,gaya ceria Gen Z haul Gen Z aktif di Instagram,8000000
Nevada,Sport,BRD066,['Generasi Z'],['Laki-laki'],"['Menengah', 'Atas']","['Modern', 'Elegance']","['Introvert', 'Tenang']","['Kreatif', 'Sosial']",stable,Cognitive,haul self-care haul Gen Z perempuan,26000000
Soloz,Sport,BRD067,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",['Menengah'],"['Modern', 'Elegance']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",stable,Affective,perempuan Gen Z Gen Z self-care Gen Z,11000000
Armor,Sport,BRD068,['Milenial'],['Laki-laki'],"['Menengah', 'Atas']","['Modern', 'Elegance']","['Ceria', 'Ekspresif']","['Kreatif', 'Sosial']",high,Affective,perempuan haul haul suka skincare suka skincare,32000000
Adhoc,Sport,BRD069,"['Generasi Z', 'Milenial']",['Perempuan'],['Atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']","['Estetika', 'Kesehatan']",high,Affective,haul haul gaya ceria haul suka skincare,6000000
Mizan Football,Sport,BRD070,['Generasi Z'],"['Perempuan', 'Laki-laki']",['Menengah'],"['Simple', 'Cerah']","['Ceria', 'Ekspresif']","['Kreatif', 'Sosial']",stable,Affective,haul suka skincare suka skincare gaya ceria suka skincare,23000000
Jaguar,Sport,BRD071,['Generasi Z'],['Perempuan'],"['Menengah', 'Atas']","['Aktif', 'Sehat']","['Ceria', 'Ekspresif']","['Kreatif', 'Sosial']",stable,Affective,self-care self-care haul aktif di Instagram gaya ceria,10000000
League,Sport,BRD072,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",['Menengah'],"['Simple', 'Cerah']","['Ceria', 'Ekspresif']","['Estetika', 'Kesehatan']",stable,Cognitive,gaya ceria aktif di Instagram haul suka skincare haul,29000000
Mactron,Sport,BRD073,"['Generasi Z', 'Milenial']",['Perempuan'],['Menengah'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']","['Kreatif', 'Sosial']",high,Cognitive,haul suka skincare Gen Z suka skincare Gen Z,7000000
King Athletics,Sport,BRD074,"['Generasi Z', 'Milenial']",['Laki-laki'],['Menengah'],"['Aktif', 'Sehat']","['Introvert', 'Tenang']","['Kreatif', 'Sosial']",high,Conative,perempuan Gen Z gaya ceria perempuan self-care,25000000
Brodo,Sport,BRD075,"['Generasi Z', 'Milenial']",['Laki-laki'],"['Menengah', 'Atas']","['Modern', 'Elegance']","['Introvert', 'Tenang']","['Kreatif', 'Sosial']",high,Cognitive,self-care aktif di Instagram Gen Z self-care Gen Z,12000000
Kopi Jago,Mix,BRD076,"['Generasi Z', 'Milenial']",['Perempuan'],"['Menengah', 'Atas']","['Aktif', 'Sehat']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",high,Cognitive,self-care self-care gaya ceria suka skincare suka skincare,31000000
Cottonink,Mix,BRD077,"['Generasi Z', 'Milenial']",['Perempuan'],['Menengah'],"['Simple', 'Cerah']","['Introvert', 'Tenang']","['Kreatif', 'Sosial']",stable,Cognitive,suka skincare Gen Z Gen Z haul suka skincare,9000000
Klamby,Mix,BRD078,['Milenial'],"['Perempuan', 'Laki-laki']","['Menengah', 'Atas']","['Aktif', 'Sehat']","['Ceria', 'Ekspresif']","['Kreatif', 'Sosial']",high,Affective,aktif di Instagram haul gaya ceria self-care suka skincare,27000000
Heymale,Mix,BRD079,['Milenial'],['Laki-laki'],['Menengah'],"['Simple', 'Cerah']","['Ceria', 'Ekspresif']","['Kreatif', 'Sosial']",stable,Affective,gaya ceria suka skincare Gen Z suka skincare gaya ceria,6000000
This Is April,Mix,BRD080,"['Generasi Z', 'Milenial']",['Laki-laki'],['Menengah'],"['Modern', 'Elegance']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",stable,Affective,haul haul Gen Z aktif di Instagram self-care,24000000
Erigo,Mix,BRD081,['Milenial'],['Laki-laki'],['Atas'],"['Modern', 'Elegance']","['Fun', 'Energetic']","['Inovasi', 'Kepercayaan']",high,Cognitive,perempuan self-care aktif di Instagram self-care gaya ceria,11000000
PVRA,Mix,BRD082,['Milenial'],"['Perempuan', 'Laki-laki']",['Menengah'],"['Simple', 'Cerah']","['Introvert', 'Tenang']","['Kreatif', 'Sosial']",high,Affective,Gen Z Gen Z perempuan self-care Gen Z,30000000
Teguk,Mix,BRD083,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",['Atas'],"['Modern', 'Elegance']","['Fun', 'Energetic']","['Inovasi', 'Kepercayaan']",stable,Affective,self-care self-care aktif di Instagram suka skincare gaya ceria,8000000
Janji Jiwa,Mix,BRD084,['Generasi Z'],['Perempuan'],"['Menengah', 'Atas']","['Modern', 'Elegance']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",high,Cognitive,aktif di Instagram Gen Z self-care gaya ceria self-care,26000000
Kopi Soe,Mix,BRD085,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",['Atas'],"['Modern', 'Elegance']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",stable,Conative,self-care haul Gen Z Gen Z Gen Z,13000000
Haus,Mix,BRD086,['Generasi Z'],"['Perempuan', 'Laki-laki']","['Menengah', 'Atas']","['Simple', 'Cerah']","['Introvert', 'Tenang']","['Inovasi', 'Kepercayaan']",high,Conative,self-care suka skincare self-care perempuan suka skincare,32000000
Geprek Bensu,Mix,BRD087,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",['Menengah'],"['Simple', 'Cerah']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",high,Affective,suka skincare gaya ceria gaya ceria haul perempuan,7000000
Upnormal,Mix,BRD088,['Milenial'],['Perempuan'],['Atas'],"['Modern', 'Elegance']","['Fun', 'Energetic']","['Estetika', 'Kesehatan']",stable,Cognitive,haul perempuan suka skincare suka skincare Gen Z,25000000
Bebek Kaleyo,Mix,BRD089,['Milenial'],['Laki-laki'],"['Menengah', 'Atas']","['Modern', 'Elegance']","['Fun', 'Energetic']","['Estetika', 'Kesehatan']",stable,Conative,Gen Z haul gaya ceria gaya ceria Gen Z,12000000
Sayurbox,Mix,BRD090,"['Generasi Z', 'Milenial']",['Perempuan'],['Atas'],"['Aktif', 'Sehat']","['Introvert', 'Tenang']","['Inovasi', 'Kepercayaan']",stable,Cognitive,haul haul self-care Gen Z suka skincare,29000000
Warung Pintar,Mix,BRD091,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Sehat']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",stable,Cognitive,self-care self-care aktif di Instagram perempuan gaya ceria,9000000
Pahamify,Mix,BRD092,['Milenial'],"['Perempuan', 'Laki-laki']",['Menengah'],"['Aktif', 'Sehat']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",high,Cognitive,suka skincare aktif di Instagram perempuan suka skincare suka skincare,23000000
TaniHub,Mix,BRD093,['Milenial'],"['Perempuan', 'Laki-laki']",['Atas'],"['Simple', 'Cerah']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",high,Cognitive,gaya ceria gaya ceria gaya ceria Gen Z aktif di Instagram,6000000
Biteship,Mix,BRD094,['Generasi Z'],['Laki-laki'],"['Menengah', 'Atas']","['Aktif', 'Sehat']","['Fun', 'Energetic']","['Estetika', 'Kesehatan']",stable,Conative,aktif di Instagram gaya ceria self-care self-care gaya ceria,27000000
Rukita,Mix,BRD095,['Milenial'],['Laki-laki'],['Menengah'],"['Simple', 'Cerah']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",stable,Cognitive,self-care suka skincare haul self-care perempuan,11000000
Mycotech Lab,Mix,BRD096,['Milenial'],['Laki-laki'],['Menengah'],"['Modern', 'Elegance']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",stable,Cognitive,suka skincare suka skincare self-care suka skincare self-care,30000000
Eduka System,Mix,BRD097,['Generasi Z'],['Perempuan'],"['Menengah', 'Atas']","['Simple', 'Cerah']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",stable,Conative,gaya ceria aktif di Instagram self-care suka skincare Gen Z,8000000
Majoo,Mix,BRD098,['Generasi Z'],['Perempuan'],['Menengah'],"['Modern', 'Elegance']","['Introvert', 'Tenang']","['Inovasi', 'Kepercayaan']",stable,Conative,gaya ceria perempuan gaya ceria perempuan perempuan,26000000
Rekosistem,Mix,BRD099,"['Generasi Z', 'Milenial']",['Laki-laki'],"['Menengah', 'Atas']","['Aktif', 'Sehat']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",stable,Cognitive,Gen Z self-care gaya ceria self-care Gen Z,10000000
Atma,Mix,BRD100,['Milenial'],"['Perempuan', 'Laki-laki']","['Menengah', 'Atas']","['Modern', 'Elegance']","['Fun', 'Energetic']","['Inovasi', 'Kepercayaan']",stable,Affective,self-care haul aktif di Instagram perempuan haul,32000000
