comment,predicted_label,confidence
😂😂😂 apapun demi wanitanya bahagia yee bang😂,relatable engagement,0.7073
Pen nonjok yg lakik 🙄,relatable engagement,0.3373
Serem bgt yg terakhir😂,relatable engagement,0.3592
Takutttt makkk😂😂😂,relatable engagement,0.3292
ga bisa bedain ini cosplay apa beneran😂,supportive sentiment,0.2821
Real kucing picky Eater 😭,relatable engagement,0.7558
Ketawa banget pas bagian kucing tolong 🤣🤣🤣,supportive sentiment,0.6472
Mirip bangeeettt😭😭🤣,relatable engagement,0.6117
YA ALLAH KUCINGNYA NGAKAK 😭😭,relatable engagement,0.6128
Kucingnya boleh aku adopsi gak?? 🥹,relatable engagement,0.4008
Real banget 😂😂,relatable engagement,0.8703
😂,passive engagement,0.3001
Mirip banget lagihh😭,relatable engagement,0.9485
Hahahahaahahhahahahaha,passive engagement,0.434
Lucuuu❤️,passive engagement,0.8366
Kak cacil menjiwai sekali ektingnya😭😂,relatable engagement,0.6652
Ko kucing nya mirip bgt kelakuan nya 😭😭😭,relatable engagement,0.9612
another skill unlocked😭😭😭,relatable engagement,0.5467
Kucing Solehah gak gampang di cat calling,supportive sentiment,0.6234
Yg kucing terlalu reallll😭😭,relatable engagement,0.9505
"Tetangga 👥 : liat deh , kasian yaaa mana masih pada muda.",relatable engagement,0.7389
Jago bgt nangkep makanya bang @rizkypahleviii butuh skill itu,supportive sentiment,0.6705
Kucing tuh punya trust issue atau gimana yaa😭,relatable engagement,0.4922
"Sengaja aku ulang\ biar gak berubah jadi manusia lagi""",relatable engagement,0.5272
ehh ini sumpah kek real suaranya bukan lipsync 😭,relatable engagement,0.7951
"Heh, please mau balik ksni lagiii😂",social virality,0.5334
Mendalami bangett 😭😂😂,relatable engagement,0.718
Kenapa kucing songong bet sih 😂,relatable engagement,0.4084
@sucilestari99 😢😢,social virality,0.6301
"cosplay kucing, kucingnya minder😂",relatable engagement,0.5979
yang kucing menjiwai❎ memang jiwanya✅,relatable engagement,0.5166
Peran kucing sangat menghayati sekalii 🤣,relatable engagement,0.7151
Mirip lagi 😔,relatable engagement,0.9396
sumpah jago anjir masuk ke mulut,passive engagement,0.4268
Menjiwai bgt sih pas bagian kucing 😭😂,relatable engagement,0.7254
Kenapa selalu bikin konten kucing kyk gini sih? Kan jd bingung ngebedain sama kucing asli skrg...,supportive sentiment,0.3731
Kok bisa mirip bgt wkwkk,relatable engagement,0.8985
Ytuhnnn😭👏👏🔥😭😭,relatable engagement,0.4879
Gue lagi sakit jadi ngakak 🤣,relatable engagement,0.4444
Relate ya kalau Anjing suka jadi Babu dan Kalau Kucing lebih suka jadi Majikan . Anjing g pilih2 makanan tapi kucing pilih2 makanan alias jual mahal .🤣,relatable engagement,0.4736
Anggun banget sih Cing jalan elu 😂,relatable engagement,0.7125
Kucingnya menjiwai bgt yak😂,supportive sentiment,0.4755
Kucingnya mirip bgt 😂,relatable engagement,0.8991
Kucing mirip bgt 😂,relatable engagement,0.9052
Mbak😭😭😭🤣,relatable engagement,0.5953
PERSIS BGT😭,relatable engagement,0.4131
Keren kak 🔥🔥 sukses. Congratulation 👏👏,supportive sentiment,0.9222
"TRIO PACER MACAN ini mah euy, MANIS DAN CANTIK ahiwwww... 😂😂😂😂",relatable engagement,0.6858
BTN Jakim tahun ini gila keren! 😍🎽,supportive sentiment,0.5681
seru amatt 😍🙌🔥😂,supportive sentiment,0.7062
real testi 24 jam gak abis semangat nya! kerennnnn🙌🫶,supportive sentiment,0.5079
Gemeshhh!!!,supportive sentiment,0.8101
YA ALLAH GERBONGNYA SERU BANGETTT💖💖💖,supportive sentiment,0.5299
Keren banget 🙌🙌🙌,supportive sentiment,0.8687
Keren abis 😍,supportive sentiment,0.6326
Manisnya kalian tuh lebihin le minerale😍😍,supportive sentiment,0.7614
Jangan lupa sholat Subuh ya guys...👏,supportive sentiment,0.6474
Ngikut pacer ciwi mah saya yang takut 😂😂😂,relatable engagement,0.4275
🔥🔥🔥 mksh pacer uda menemani 10K saya,supportive sentiment,0.855
GORJES GORJES GURLLLL 🔥,relatable engagement,0.5049
"Respect buat semua finisher Jakarta Marathon 2025! 🙌 Buat yang mau mulai journey lari, sepatu yang nyaman tuh kunci. Banyak opsi keren di @lastpair_room 👟✨ #sepatuorigaharusmahal",supportive sentiment,0.9248
Gerbongnya rame pooll,relatable engagement,0.3844
masih pengen ngulang lagi ga sihhh 🥹🥹🥺🥺🫶🏻,supportive sentiment,0.473
Sumpaa cakep2 foto nya!!💓💓💓,supportive sentiment,0.8917
Slide terakhir TOP😂😂😂😂🙌🙌,supportive sentiment,0.4928
pacerr idolaa!!🔥🔥🔥,supportive sentiment,0.806
Like pertama,supportive sentiment,0.6061
segala sisi bisnis & orang komen di postingan ini,supportive sentiment,0.7622
😍😍❤️😍CAYAANGG hepi maksimal bersama bareng luv babyy,supportive sentiment,0.5665
pacerrrr cantikkkkkk ak,supportive sentiment,0.8036
kamu bener2 my woman crush EVERYDAY,supportive sentiment,0.5203
SERUUU BANGETSIH PACER CANTIK” INI 🤩🤩🤩,supportive sentiment,0.4764
CANTIKNYAA KEBANGETAN 🔥❤️🙌,supportive sentiment,0.7245
Seru amay gerbong kamu 😍😍😍,supportive sentiment,0.766
Rahasia selalu keren terus apedehh,supportive sentiment,0.6889
HANA KERENBGT SIH SYG LOVE U😍🔥❤️,supportive sentiment,0.6472
keren bgt slide terakhir,supportive sentiment,0.5377
🔥🔥🔥🔥,passive engagement,0.3183
KERENNN KAKAKKU🥹🫶🏻🔥,supportive sentiment,0.6947
🔥🔥🔥,passive engagement,0.3083
"Definisi baru kenal langsung nyaman, luv banyak buat kak hanaa see you next event kaa 😘❤️✨",supportive sentiment,0.5308
"Masyaallah, ini Pacer2 Terbaik inspiratif 🔥",supportive sentiment,0.4492
Bestttt,supportive sentiment,0.6458
Kak pacerin aku dong kak🙌,supportive sentiment,0.8203
bisa ya 21km masih cakep seger bgt gini,supportive sentiment,0.4955
IDOLAKUUUUUUUUUUU,supportive sentiment,0.8327
kacau banget cantiknya!! btw aku masih ngakak slide terakhir sih HAHAHA😭🤣,supportive sentiment,0.5368
Love ❤️,passive engagement,0.4875
🔥🔥🔥🔥🔥,passive engagement,0.3209
Pacer2 canteekk 😍😍😍,passive engagement,0.5484
Cakeppp bgtt❤️❤️❤️❤️,supportive sentiment,0.901
Ketjeee😍🔥 itu hayatii ngapain sih slide terakhir😂😂 @hayatinupush11,supportive sentiment,0.557
KEREN BANGET ANAAAHHHH 👏👏🔥🔥😍😍,supportive sentiment,0.5149
😍😍😍😍😍,passive engagement,0.7105
Juara di hati😍😍😍😍,supportive sentiment,0.7715
🔥🔥🔥❤️‍🔥🤩,passive engagement,0.7896
Kembarann lagunyaaa yaaaa,relatable engagement,0.7362
pacer favoritkuu😍❤️,supportive sentiment,0.8428
KEREN BGDDDD 🥵🥵🔥🔥🔥,supportive sentiment,0.5267
"Anaaa ku keren bangett, proudd!!🔥❤️❤️",supportive sentiment,0.8642
Pacer cantikuuu kebangaanku😍😍❤️❤️❤️❤️,supportive sentiment,0.7229
KK yg blkng sp ya,relatable engagement,0.7007
Jam 02.00 disini masih overthinking situ udah pake sepatu running 😂,product-focused response,0.643
G keren sih lebay ia 😂,spam or irrelevant,0.6097
Beda kelas emang🔥🙌🙌 pantes brand masuk mulu,product-focused response,0.583
"Kmaren mo nyapa pas d GBK, malu. 🙈",relatable engagement,0.6315
pacer-pacer cantiiik😍,supportive sentiment,0.6748
Kereeeen👏,supportive sentiment,0.8343
Selalu kerennnnn🔥🔥🙌,supportive sentiment,0.8303
cayang akuu kerennya masya Allaaah❤️😍😍 makin cemerlang yaa abis inii bersinar,supportive sentiment,0.8796
Duuuuh kaka pacer ini gerbongnya paling rame pokoknya bener” bikin semangaaaat 🥹,supportive sentiment,0.5137
Asikkk 🔥🔥🔥🔥🔥🔥🔥 #TeamSuunto #Suunto #SuuntoIndonesia #StartimeOfiicial #Startime,supportive sentiment,0.8758
kyooottt❤️,supportive sentiment,0.8614
woy cakep max,relatable engagement,0.4469
KEREN SKALIIIII,supportive sentiment,0.6862
Wah keren euy🔥,supportive sentiment,0.6839
🔥🔥🔥🔥🔥😍😍😍😍😍,passive engagement,0.6938
Keren bgttttt!!!🔥😍,supportive sentiment,0.8604
kak km keren gt doa apa,supportive sentiment,0.5875
🙌 💯 🙏,passive engagement,0.8767
❤️❤️,passive engagement,0.6768
Menyalaa terus sisss🔥🔥🫶✨️,supportive sentiment,0.8456
Omggg keren bgt siss,supportive sentiment,0.7564
PROUDDD CAYANGKUUU LOVE UUUU❤️❤️😍😍,supportive sentiment,0.5969
KERENNNNN ANAHHHHHKUUU CANTIKK🫶🏻🫶🏻🫶🏻,supportive sentiment,0.5305
Sepatunya 🔥🔥,product-focused response,0.3555
"Keren bgtt sekalinya join jakim, lgsg jd pacer🥹🫶🏻🫶🏻🫶🏻🫶🏻 hebar anah!!!",supportive sentiment,0.3727
🙌🙌🙌🙌🙌,passive engagement,0.8046
Awww cantekk banged pacer kitaa ❤️❤️,supportive sentiment,0.6442
"udah stand out semua, shubuhannya mana, apa lagi dpt yaa",spam or irrelevant,0.4572
SUNGGUH PANUTAN👏,supportive sentiment,0.8172
CAKEP BGTT HANA😍❤️,supportive sentiment,0.6751
🤍🤍,passive engagement,0.3671
"haii kak, kindly check DM yaa kak💌☺️",spam or irrelevant,0.7548
Forever proud. 🖤,supportive sentiment,0.8516
mashaAllah u ga dandan uda cakep banget bidadari😍,supportive sentiment,0.8187
keren 🔥🔥🔥,supportive sentiment,0.5634
keren bgt sepatunya kak,product-focused response,0.3938
Keren sepatunya & larinya,product-focused response,0.6899
Keyen powl😍🔥🔥😍,supportive sentiment,0.843
slide 2 makin ⚡️gasih,supportive sentiment,0.6516
Ajarin ngebuttss kakk🔥😍,supportive sentiment,0.7564
"Difoto dengan running form kayak gini keren bgt hasilnya, kalau form msh acak-acakan malah gak pede kalau di foto 😅",relatable engagement,0.6286
Jam bekas mba nya saya beli 1.5 jt hari ini mba,spam or irrelevant,0.4806
besok berangkat pelatnas kita ya de,supportive sentiment,0.4556
Terbanggg🔥,supportive sentiment,0.8191
ad yang melayang tpi bukan layang layang 😝😝,supportive sentiment,0.4809
Kaka atlet🔥🔥🔥,supportive sentiment,0.7212
🔥🔥🔥 @herryrachman 🔥🔥,social virality,0.4108
KEREN BGTTTTTT,supportive sentiment,0.495
Gasabar dipacerin kaka anah😍,supportive sentiment,0.7538
manusia tanpa heel drop 🩷💐🎀,supportive sentiment,0.6367
terbangggg🙌,supportive sentiment,0.8111
senior kencang 🔥,passive engagement,0.4143
SELALU KEREN,passive engagement,0.7576
eliteee kah kak?😮‍💨,passive engagement,0.3933
raja form kah,passive engagement,0.3117
DAAYMMMMM,passive engagement,0.6928
ggwp🔥,passive engagement,0.3322
Atuttttt😢😢😢,passive engagement,0.7
Kelazzzz🔥,passive engagement,0.5432
si ngebuttsssssss🔥🔥,passive engagement,0.4522
tetep glowinggg😍😍,supportive sentiment,0.8866
👏🔥🙌full mizuno kak😍👍🙏,supportive sentiment,0.7851
Gila gila,passive engagement,0.2697
keren bgtt,passive engagement,0.4651
😍,passive engagement,0.4973
🔥,passive engagement,0.2994
👏👏👏🔥🔥🔥,passive engagement,0.4073
Kerennn ambil ftonya berasa melayang gt 🔥,supportive sentiment,0.5406
Kenceng banget kaaa,supportive sentiment,0.4675
Idola🔥❤️,supportive sentiment,0.8527
Mau donk tukeran sepatu juga biar kalcer 😮,supportive sentiment,0.6208
Tight nya keren,supportive sentiment,0.6944
Bagus banget,supportive sentiment,0.3626
Lari menyatukan kang walaupun warnanya berbeda,supportive sentiment,0.4951
Stride nya keren kak 😭😭😭. Perfect lah form nya🔥🔥,supportive sentiment,0.7909
Keren 🔥,passive engagement,0.4097
Mantep 😎👍,passive engagement,0.8181
cakep bgt 🥹❤️‍🔥,passive engagement,0.7417
keren bgt anahku cayang😍❤️,passive engagement,0.6699
Behhh sekeren itu👏🔥🙌,supportive sentiment,0.5408
suka bgt stridenga🔥👏,product-focused response,0.6781
😍😍😍🔥🔥,passive engagement,0.6445
keren bgt si kakkk😍,supportive sentiment,0.8444
Terlalu keren🙌🔥,supportive sentiment,0.8016
Yg gw paling kanan kok ga ada?😂,supportive sentiment,0.3322
ko bisaa terbang kakk🔥,supportive sentiment,0.6691
cewek kereenn💗,supportive sentiment,0.7541
anaaaah😍😍,supportive sentiment,0.8182
kenceng kah kak itu?,product-focused response,0.4647
damnnn keren bgt sik,supportive sentiment,0.6881
sehat-sehat orang sehat,supportive sentiment,0.7794
Jangan lupa bismillahi tawakaltu,supportive sentiment,0.8784
STRIDE RUNNER PANUTAN😍,supportive sentiment,0.8346
menyala stide nyaah 🔥🔥,supportive sentiment,0.4583
Ihhh ngga pernah gagal memangggg 🔥🔥,relatable engagement,0.6445
Bodynya cakep bgt tolong 😭,supportive sentiment,0.5785
mrs.stridee😍,supportive sentiment,0.7806
DEYM,supportive sentiment,0.3102
Looking gewddd🤩,supportive sentiment,0.709
ELASTIGIRL???!?,supportive sentiment,0.6509
Fix athlete,supportive sentiment,0.4356
Agak besar juga yah,supportive sentiment,0.374
reall ceker!! cewe kerenn🔥,supportive sentiment,0.7708
👏👏👏👏👏👏👏👏,passive engagement,0.5961
🔥🔥,passive engagement,0.3176
Tb nya brp kak,product-focused response,0.2991
Wow bootyyyy🔥,supportive sentiment,0.8334
🙌🔥🔥,passive engagement,0.3327
Atlit?,passive engagement,0.3167
Keren oantatnya bisa bulad,spam or irrelevant,0.6252
Pulen y,spam or irrelevant,0.4915
😍😍😍,passive engagement,0.5592
🔥🔥🔥🔥😍😍,passive engagement,0.6608
Idola kami ini kurangnya apa sih 😍😍,supportive sentiment,0.839
Keren kak tasya 😍🔥,supportive sentiment,0.6688
Kebanggaan kami 🔥,supportive sentiment,0.759
Ketjee amat 😍😍,supportive sentiment,0.7766
Mantap kk,supportive sentiment,0.7542
Duh 🔥😍,passive engagement,0.7492
🙌🙌🙌,passive engagement,0.6586
Idolaa 🤩😍,supportive sentiment,0.862
😍😍,passive engagement,0.5913
Sayangkuuu 🤗🤗🤗🤗,supportive sentiment,0.7894
Odohh Menyala Sayanggkuuu 🔥🔥🔥 Dari MC Kolom smpe jadi MC Hitz suluttt MAJUUUUU ✨✨,supportive sentiment,0.6465
Tuhan pakai terus menjadi berkat👏👏👏🔥🔥🔥,supportive sentiment,0.7858
Kereeen 🔥❤️😍,supportive sentiment,0.8294
menyalah kakak gw🔥,relatable engagement,0.775
Memang mantap pake skali adek 1 ini andalan smuanya ini..,relatable engagement,0.8661
"Kak, ngana keren skale e 😍😍😍",supportive sentiment,0.7029
ANA PE PANUTAN SIH INI🔥🔥🔥,supportive sentiment,0.6739
"Selalu jaga kesehatan ,sukses selalu ❤️🔥",supportive sentiment,0.9282
🔥😍,passive engagement,0.5468
Semangat 💪🏾,supportive sentiment,0.845
Menginspirasi sx ka iaaa✨,supportive sentiment,0.6388
Idola andalan kami 😍🔥,supportive sentiment,0.8112
Berpower 🔥 Jangan lupa lemon Madu 🤗😭,supportive sentiment,0.6591
PARTNER MECKU NIH BOSSSS🤍🤍🤍,supportive sentiment,0.7016
👏,passive engagement,0.4652
Tuhan Yesus bae sekali kang kak,supportive sentiment,0.7854
So bgni kong mda ada yg mo tagate lehh 😂😂😂😂,supportive sentiment,0.312
Warbiasaa 😍,supportive sentiment,0.6171
Mc kerenn 😍,supportive sentiment,0.6823
🔥🔥🔥Menyalah gak tu,relatable engagement,0.6653
uhhh banggaaaa,supportive sentiment,0.8997
Semuanya berawal tempat kumuh ya de… Dan kita so bilang nn akan spt di tahun 2017.. and now it’s happen de,relatable engagement,0.6778
(Lima emot api) sya,passive engagement,0.4514
🔥🔥BRIGADE🔥🔥,passive engagement,0.6161
🔥🔥🔥 proud of u diks 🙌,supportive sentiment,0.9146
Lanjutkan PAK JOKOWI biar barisan.SAKIT HATI jadi SAKIT JIWA ngeliatnya 😂😂😂😂😂😍,relatable engagement,0.5792
Hidden by Instagram,spam or irrelevant,0.266
CV premium 10rb bayar setelah jadi,spam or irrelevant,0.5019
Mempesoonaaaa bangggeeettt🙌🏻🤩🤩,supportive sentiment,0.6973
"Kak, betis pernah ada bekas knalpot gak? 😂",spam or irrelevant,0.4668
Air comberan itu dari rumah orang,spam or irrelevant,0.6028
Dpe tatawa candu..tore2 😂,spam or irrelevant,0.3427
Gaspollll,supportive sentiment,0.4983
Asyikkkk so ada e dpe pink😍👏🔥,supportive sentiment,0.5111
"Wow, I need to try this ASAP! Looks amazing! 🔥",supportive sentiment,0.8426
Sounds great! LOve to try it myself.,supportive sentiment,0.6572
The tea looks great! I want to try,supportive sentiment,0.5889
This is a great brand of tea❤️ Healthy and lots of benefits❤️,supportive sentiment,0.6738
Wow sounds really taste-tea 😍!,supportive sentiment,0.4057
Oh I love 🍵! They are the heart of my day!,supportive sentiment,0.8038
😊😊😊,passive engagement,0.8515
Bener mba El aku juga puasa agak lemes. Butuh ini kayanya 😍,relatable engagement,0.5016
❤️❤️❤️,passive engagement,0.7076
Udah punyaa jugaaa 🙌🏻,supportive sentiment,0.7725
"wanna try this, looks so good❤️",supportive sentiment,0.8756
this looks like a great tea .,passive engagement,0.4221
👍👍👍,passive engagement,0.7872
So cool to view from here,passive engagement,0.4269
👍🏻👍🏻👍🏻,passive engagement,0.5842
Wah boleh dicoba nihh,product-focused response,0.751
😍😍😍😍,passive engagement,0.5877
I'd love to try this.,supportive sentiment,0.6227
Wajib banget nih... Apalagi kalau puasa kadang suka sembelit 🔥,relatable engagement,0.7192
Never tried Inoru Tea. Thanks for the reco hon.,supportive sentiment,0.3801
This looks like a must-try product! 🛍️,supportive sentiment,0.4756
I need Inoru tea in my life 🙌,supportive sentiment,0.7274
Otw nyoba,supportive sentiment,0.8265
Mau banget aku beli ini,supportive sentiment,0.44
Kyknya aku harus stok ini dirumah deh 🔥,supportive sentiment,0.481
harus rutin minum inisih akuu,supportive sentiment,0.589
Need to try asap,relatable engagement,0.6302
❤️❤️❤️❤️❤️,passive engagement,0.6753
❤️😍❤️,passive engagement,0.7587
Di shopee ada gak kak ?,product-focused response,0.3727
Aku udah stock di rumah,product-focused response,0.4343
Mau nyobain juga,product-focused response,0.5755
💯💯👍,passive engagement,0.3732
😍😍☺☺,passive engagement,0.6689
Sounds like a good tea.. Will definitely check it out,product-focused response,0.4766
Mau cobain ahhh teh nya😍🔥,product-focused response,0.7299
Love this healthy drinks with lots of vitamins ❤️❤️❤️,product-focused response,0.8284
I’d love to try this tea,product-focused response,0.5294
Jadi solusi banget ini sih😍,product-focused response,0.6896
Produk baru ya kak?,product-focused response,0.4083
Looks like a good one to try,supportive sentiment,0.4584
This looks really delicious and healthy,supportive sentiment,0.7344
Nothing better than a tea that’s both delicious and beneficial,supportive sentiment,0.447
Looks like an amazing product!,supportive sentiment,0.5952
