influencer_id,name,platform_primary,platform_primary_score,persona,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,trending_status,likeability_sentiment,campaign_success_signif,similarity_tags,has_relevant_history,random_endorse_rate,behavior_consistency,expertise,influencer_clean
INF011,natasha wilona,Instagram,77,"['Acting','Lifestyle','Beauty']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Beauty']","['Friendly','Talented']",Beauty,False,Positive,False,"['Aktris','Beauty']",False,0.32,False,False,natasha wilona
INF012,ariel noah,Instagram,92,"['Music','Entertainment','Lifestyle']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Music']","['Talented','Cool']",Talent,True,Positive,False,"['Noah','Musisi']",False,0.94,False,False,ariel noah
INF013,cinta laura,Instagram,69,"['Acting','Music','Education']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Education']","['Talented','Smart']",Empowerment,False,Positive,False,"['Aktris','Pendidikan']",False,0.72,False,False,cinta laura
INF014,felicya angelista,Instagram,61,"['Acting','Entrepreneur','Family']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Entrepreneur']","['Caring','Ambitious']",Family,False,Positive,False,"['Aktris','Bisnis']",False,0.88,False,False,felicya angelista
INF015,indra bekti,Instagram,69,"['Entertainment','MC','Comedy']",Generasi X,Laki-laki,Menengah,"['Modern','Simple']","['Humorous','Friendly']",Fun,False,Positive,False,"['MC','Presenter']",False,0.53,False,False,indra bekti
INF016,rizky febian,Instagram,82,"['Music','Entertainment','Youth']",Generasi Z,Laki-laki,Menengah,"['Modern','Youthful']","['Talented','Friendly']",Talent,True,Positive,False,"['Musisi','Idol']",False,0.42,False,False,rizky febian
INF017,tasya kamila,Instagram,76,"['Entertainment','Education','Family']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Education']","['Smart','Friendly']",Empowerment,False,Positive,False,"['Aktris','Pendidikan']",False,0.35,False,False,tasya kamila
INF018,alexa belvana,Instagram,73,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Confident']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.61,True,True,alexa belvana
INF019,ayla dimitri,Instagram,84,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Creative','Confident']",Creativity,True,Positive,False,"['Fashion','Influencer']",False,0.81,True,True,ayla dimitri
INF020,valerie pola,Instagram,71,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.27,True,True,valerie pola
INF021,sarah gabriella tumiwa,Instagram,77,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Friendly']",Confidence,False,Positive,False,"['Fashion','Model']",False,0.27,True,True,sarah gabriella tumiwa
INF022,tiffany regina,Instagram,79,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Creative']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.61,True,True,tiffany regina
INF023,vili su,Instagram,82,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']",Creativity,True,Positive,False,"['Fashion','Influencer']",False,0.32,True,True,vili su
INF024,claradevi,Instagram,66,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.43,True,True,claradevi
INF025,yumi kwandy,Instagram,78,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']",Creativity,False,Positive,False,"['Fashion','Influencer']",False,0.94,True,True,yumi kwandy
INF026,fadhilah razak,Instagram,76,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.52,True,True,fadhilah razak
INF027,jessica charis,Instagram,69,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']",Creativity,False,Positive,False,"['Fashion','Influencer']",False,0.78,True,True,jessica charis
INF028,evelyn ramli,Instagram,79,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.75,True,True,evelyn ramli
INF029,aurel oriana,Instagram,76,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Confident']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.47,True,True,aurel oriana
INF030,angel tamara,Instagram,73,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Creative','Confident']",Creativity,False,Positive,False,"['Fashion','Influencer']",False,0.77,True,True,angel tamara
INF031,calista cherrie,Instagram,80,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,True,Positive,False,"['Beauty','Fashion']",False,0.93,True,True,calista cherrie
INF032,shalfa putri raihan,Instagram,60,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Friendly']",Confidence,False,Positive,False,"['Fashion','Model']",False,0.94,True,True,shalfa putri raihan
INF033,sarah ayu,Instagram,68,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Creative']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.9,True,True,sarah ayu
INF034,agustina hermanto,Instagram,67,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']",Creativity,False,Positive,False,"['Fashion','Influencer']",False,0.31,True,True,agustina hermanto
INF035,najwa shihab,YouTube,64,"['Education','Media','Public Expert']",Generasi X,Perempuan,Menengah ke atas,"['Intellectual','Modern']","['Smart','Critical']",Knowledge,False,Positive,True,"['Jurnalis','Narasi']",True,0.66,True,True,najwa shihab
INF036,dewi lestari,Instagram,76,"['Education','Writing','Public Expert']",Generasi X,Perempuan,Menengah ke atas,"['Intellectual','Creative']","['Smart','Creative']",Wisdom,False,Positive,True,"['Penulis','Musisi']",True,0.52,True,True,dewi lestari
INF037,brian febrian,Instagram,65,"['Education','Public Expert']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Intellectual','Modern']","['Smart','Critical']",Knowledge,False,Positive,True,"['Pakar','Edukasi']",True,0.94,True,True,brian febrian
INF038,najelaa shihab,Instagram,73,"['Education','Public Expert']",Generasi X,Perempuan,Menengah ke atas,"['Intellectual','Modern']","['Smart','Caring']",Empowerment,False,Positive,True,"['Pendidikan','Aktivis']",True,0.69,True,True,najelaa shihab
INF039,gede prama,Instagram,84,"['Education','Spiritual','Public Expert']",Generasi X,Laki-laki,Menengah ke atas,"['Spiritual','Simple']","['Wise','Calm']",Wisdom,False,Positive,True,"['Spiritual','Motivator']",True,0.41,True,True,gede prama
INF042,gitasav,Instagram,77,"['Education','Public Expert','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Motivational']","['Smart','Inspiring']",Empowerment,False,Positive,True,"['Motivator','Edukasi']",True,0.23,True,True,gitasav
INF043,alya nurshabrina,Instagram,78,"['Education','Public Expert','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Motivational']","['Smart','Inspiring']",Empowerment,False,Positive,True,"['Motivator','Edukasi']",True,0.76,True,True,alya nurshabrina
INF044,reza aditya,Instagram,68,"['Education','Public Expert','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Motivational']","['Smart','Inspiring']",Empowerment,False,Positive,True,"['Motivator','Edukasi']",True,0.2,True,True,reza aditya
INF045,felix siauw,YouTube,82,"['Education','Religion','Public Expert']",Generasi X,Laki-laki,Menengah ke atas,"['Religious','Modern']","['Wise','Inspiring']",Faith,False,Positive,True,"['Ustadz','Motivator']",True,0.42,True,True,felix siauw
INF047,luna vidya,Instagram,76,"['Education','Public Expert','Parenting']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Family']","['Caring','Smart']",Family,False,Positive,True,"['Parenting','Edukasi']",True,0.92,True,True,luna vidya
INF048,agustinus wibowo,Instagram,61,"['Education','Writing','Public Expert']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Intellectual','Creative']","['Smart','Creative']",Wisdom,False,Positive,True,"['Penulis','Travel']",True,0.24,True,True,agustinus wibowo
INF053,rara sekar,Instagram,83,"['Activism','Social','Changemaker']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Social']","['Caring','Creative']",Empowerment,True,Positive,True,"['Aktivis','Musisi']",True,0.45,True,True,rara sekar
INF055,isyana sarasvati,Instagram,62,"['Activism','Music','Changemaker']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Creative']","['Talented','Inspiring']",Creativity,True,Positive,True,"['Musisi','Aktivis']",True,0.85,True,True,isyana sarasvati
INF056,vidi aldiano,Instagram,70,"['Activism','Music','Changemaker']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Creative']","['Talented','Friendly']",Empowerment,True,Positive,True,"['Musisi','Aktivis']",True,0.38,True,True,vidi aldiano
INF061,helga angelina,Instagram,76,"['Activism','Social','Changemaker']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Eco-conscious']","['Caring','Inspiring']",Sustainability,True,Positive,True,"['Lingkungan','Vegan']",True,0.39,True,True,helga angelina
INF062,melati wijsen,Instagram,80,"['Activism','Social','Changemaker']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Eco-conscious']","['Caring','Inspiring']",Sustainability,True,Positive,True,"['Lingkungan','Aktivis']",True,0.55,True,True,melati wijsen
INF065,anindya kusuma,Instagram,78,"['Activism','Social','Changemaker']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Social']","['Caring','Creative']",Empowerment,True,Positive,True,"['Aktivis','Influencer']",True,0.27,True,True,anindya kusuma
INF067,eva bande,Instagram,60,"['Activism','Social','Changemaker']",Generasi X,Perempuan,Menengah ke atas,"['Modern','Social']","['Caring','Inspiring']",Justice,True,Positive,True,"['Aktivis','Lingkungan']",True,0.93,True,True,eva bande
INF068,zahra muzdalifah,Instagram,74,"['Activism','Sports','Changemaker']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Sporty']","['Energetic','Inspiring']",Empowerment,True,Positive,True,"['Atlet','Aktivis']",True,0.24,True,True,zahra muzdalifah
INF069,sarwendah,Instagram,63,"['Lifestyle','Family','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Ibu','Selebriti']",False,0.81,True,False,sarwendah
INF070,cut meyriska,Instagram,62,"['Lifestyle','Family','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.6,True,False,cut meyriska
INF072,danu alqamara,Instagram,63,"['Lifestyle','Family','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Family','Simple']","['Friendly','Caring']",Family,False,Positive,False,"['Ayah','Influencer']",False,0.79,True,False,danu alqamara
INF074,donna harun,Instagram,69,"['Lifestyle','Family','Everyday']",Generasi X,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Elegant']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.2,True,False,donna harun
INF075,rian fahardhi,Instagram,78,"['Lifestyle','Family','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Simple','Modern']","['Friendly','Caring']",Fun,False,Positive,False,"['Influencer','Daily']",False,0.4,True,False,rian fahardhi
INF076,nona berlian sakina,Instagram,77,"['Lifestyle','Family','Everyday']",Generasi Milenial,Perempuan,Menengah,"['Family','Simple']","['Caring','Friendly']",Family,False,Positive,False,"['Ibu','Influencer']",False,0.23,True,False,nona berlian sakina
INF078,henjiwong,Instagram,61,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Chef']",False,0.91,True,False,henjiwong
INF080,anakjajan,Instagram,79,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.27,True,False,anakjajan
INF081,kuliner koko,Instagram,82,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Modern','Culinary']","['Friendly','Creative']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.88,True,False,kuliner koko
INF082,susan theresia,Instagram,79,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.84,True,False,susan theresia
INF083,agakenyang,Instagram,65,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Modern','Culinary']","['Friendly','Creative']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.37,True,False,agakenyang
INF084,ayoe widya,Instagram,66,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Perempuan,Menengah,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.88,True,False,ayoe widya
INF085,syifa hadju,Instagram,73,"['Lifestyle','Beauty','Everyday']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Beauty']","['Friendly','Stylish']",Beauty,False,Positive,False,"['Aktris','Beauty']",False,0.78,True,False,syifa hadju
INF086,greysia polii,Instagram,84,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.29,True,True,greysia polii
INF087,apriyani rahayu,Instagram,66,"['Sports','Athlete','Motivation']",Generasi Z,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.91,True,True,apriyani rahayu
INF088,liliyana natsir,Instagram,83,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.23,True,True,liliyana natsir
INF089,rio haryanto,Instagram,72,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Modern']","['Energetic','Ambitious']",Achievement,True,Positive,True,"['F1','Balap']",True,0.53,True,True,rio haryanto
INF090,anthony ginting,Instagram,62,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.69,True,True,anthony ginting
INF091,jonatan christie,Instagram,65,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.43,True,True,jonatan christie
INF092,kevin sanjaya,Instagram,81,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.57,True,True,kevin sanjaya
INF093,marcus gideon,Instagram,73,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.6,True,True,marcus gideon
INF094,rizki amelia,Instagram,66,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.33,True,True,rizki amelia
INF095,eko yuli irawan,Instagram,70,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Angkat Besi','Olimpiade']",True,0.41,True,True,eko yuli irawan
INF096,diananda choirunisa,Instagram,64,"['Sports','Athlete','Motivation']",Generasi Z,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Panahan','Olimpiade']",True,0.25,True,True,diananda choirunisa
INF097,indra sjafri,Instagram,70,"['Sports','Coach','Motivation']",Generasi X,Laki-laki,Menengah ke atas,"['Sporty','Leader']","['Inspiring','Disiplin']",Leadership,True,Positive,True,"['Pelatih','Sepakbola']",True,0.22,True,True,indra sjafri
INF098,wahyu nayaka,Instagram,65,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.87,True,True,wahyu nayaka
INF099,ahsan hendra,Instagram,61,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.44,True,True,ahsan hendra
INF100,aprilia manganang,Instagram,78,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Voli','Olimpiade']",True,0.24,True,True,aprilia manganang
INF101,zohri lalu,Instagram,81,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Atletik','Olimpiade']",True,0.68,True,True,zohri lalu
INF102,bryan domani,Instagram,64,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Modern']","['Energetic','Friendly']",Achievement,True,Positive,True,"['Aktor','Olahraga']",True,0.64,True,False,bryan domani
INF103,yasa singgih,Instagram,62,"['Business','Entrepreneur','Finance']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Smart']",Innovation,True,Positive,True,"['Bisnis','Startup']",True,0.75,True,True,yasa singgih
INF105,andhika diskartes,Instagram,81,"['Business','Finance','Education']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Analytical']",Knowledge,True,Positive,True,"['Finansial','Edukasi']",True,0.27,True,True,andhika diskartes
INF106,raden rauf,Instagram,63,"['Business','Entrepreneur','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Inspiring']",Empowerment,True,Positive,True,"['Bisnis','Motivator']",True,0.27,True,True,raden rauf
INF107,sandy firmansyah,Instagram,71,"['Business','Entrepreneur','Finance']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Ambitious']",Innovation,True,Positive,True,"['Bisnis','Startup']",True,0.38,True,True,sandy firmansyah
INF108,jouska,Instagram,75,"['Business','Finance','Education']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Analytical']",Knowledge,True,Positive,True,"['Finansial','Edukasi']",True,0.89,True,True,jouska
INF109,fellexandro ruby,Instagram,79,"['Business','Entrepreneur','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Inspiring']",Empowerment,True,Positive,True,"['Bisnis','Motivator']",True,0.43,True,True,fellexandro ruby
INF110,denny santoso,Instagram,70,"['Business','Entrepreneur','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Inspiring']",Empowerment,True,Positive,True,"['Bisnis','Motivator']",True,0.88,True,True,denny santoso
INF111,vincent raditya,YouTube,79,"['Business','Aviation','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Aviation']","['Ambitious','Inspiring']",Empowerment,True,Positive,True,"['Pilot','Motivator']",True,0.37,True,True,vincent raditya
INF112,christian sugiono,Instagram,75,"['Business','Entrepreneur','Tech']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Ambitious']",Innovation,True,Positive,True,"['Startup','Teknologi']",True,0.21,True,True,christian sugiono
INF113,hanifa ambadar,Instagram,83,"['Business','Entrepreneur','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Inspiring']",Empowerment,True,Positive,True,"['Bisnis','Motivator']",True,0.81,True,True,hanifa ambadar
INF117,rendy saputra,Instagram,63,"['Business','Entrepreneur','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Inspiring']",Empowerment,True,Positive,True,"['Bisnis','Motivator']",True,0.9,True,True,rendy saputra
INF118,agung hapsah,YouTube,77,"['Business','Tech','Content Creator']",Generasi Z,Laki-laki,Menengah ke atas,"['Modern','Tech']","['Creative','Smart']",Innovation,True,Positive,True,"['Teknologi','YouTuber']",True,0.6,True,True,agung hapsah
INF119,irfan amalee,Instagram,65,"['Business','Education','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Inspiring']",Empowerment,True,Positive,True,"['Edukasi','Motivator']",True,0.35,True,True,irfan amalee
INF120,sibungbung,Instagram,61,"['Culinary','Food','Creator']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.84,True,False,sibungbung
INF121,nana koot,Instagram,66,"['Culinary','Food','Creator']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.29,True,False,nana koot
INF122,vindy lee,Instagram,82,"['Culinary','Food','Chef']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Talented']",Creativity,True,Positive,True,"['Chef','Kuliner']",True,0.84,True,True,vindy lee
INF123,chef arnold,Instagram,81,"['Culinary','Food','Chef']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Culinary']","['Creative','Talented']",Creativity,True,Positive,True,"['Chef','Kuliner']",True,0.61,True,True,chef arnold
INF124,farah quinn,Instagram,81,"['Culinary','Food','Chef']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Talented']",Creativity,True,Positive,True,"['Chef','Kuliner']",True,0.22,True,True,farah quinn
INF125,william gozali,Instagram,78,"['Culinary','Food','Chef']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Culinary']","['Creative','Talented']",Creativity,True,Positive,True,"['Chef','Kuliner']",True,0.25,True,True,william gozali
INF126,chandra yudasswara,Instagram,82,"['Culinary','Food','Chef']",Generasi X,Laki-laki,Menengah ke atas,"['Modern','Culinary']","['Creative','Talented']",Creativity,True,Positive,True,"['Chef','Kuliner']",True,0.33,True,True,chandra yudasswara
INF127,devina hermawan,Instagram,61,"['Culinary','Food','Chef']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Talented']",Creativity,True,Positive,True,"['Chef','Kuliner']",True,0.85,True,True,devina hermawan
